metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Stock Price (Rs),3260.05,3529.4,3815.75,3745.35,3362.9,2023.65,3198.95,3587.75,3263.75,8774.1,7850.9,6731.0
EPS in Rs,140.91,123.61,139.28,144.82,161.57,170.26,204.72,219.0,209.05,256.07,273.95,303.25
Equity Capital (Rs Cr),42.0,42.0,42.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,44.0
Face Value (Rs),5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Shares Outstanding,84000000.0,84000000.0,84000000.0,86000000.0,86000000.0,86000000.0,86000000.0,86000000.0,86000000.0,86000000.0,86000000.0,88000000.0
Market Cap (Rs Cr),27384.42,29646.96,32052.3,32210.01,28920.94,17403.39,27510.97,30854.65,28068.25,75457.26,67517.74,59232.8
P/E ratio,23.14,28.55,27.4,25.86,20.81,11.89,15.63,16.38,15.61,34.26,28.66,22.2
