metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Live
Stock Price (Rs),58.41,59.39,115.01,146.12,142.87,47.71,95.85,80.6,82.05,158.25,153.22,240.2,268.0
EPS in Rs,4.04,3.97,4.83,5.11,9.06,6.9,3.93,4.33,6.55,9.32,10.6,11.9,
Equity Capital (Rs Cr),1720.0,1753.0,1756.0,1996.0,1999.0,2005.0,2469.0,2474.0,2480.0,2489.0,2495.0,2504.0,
Face Value (Rs),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
Shares Outstanding,1720000000.0,1753000000.0,1756000000.0,1996000000.0,1999000000.0,2005000000.0,2469000000.0,2474000000.0,2480000000.0,2489000000.0,2495000000.0,2504000000.0,
Market Cap (Rs Cr),10046.52,10411.07,20195.76,29165.55,28559.71,9565.85,23665.37,19940.44,20348.4,39388.43,38228.39,60146.08,67210.0
P/E ratio,14.46,14.96,23.81,28.59,15.77,6.91,24.39,18.61,12.53,16.98,14.45,20.18,22.4
