metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Live
Stock Price (Rs),833.05,877.6,890.05,795.0,717.45,478.05,853.8,536.4,579.1,760.4,1003.3,672.45,910.0
EPS in Rs,,,,,28.29,38.69,37.87,30.01,42.79,51.05,51.61,48.94,
Equity Capital (Rs Cr),,,,,17.0,17.0,17.0,17.0,17.0,18.0,18.0,18.0,
Face Value (Rs),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
Shares Outstanding,,,,,170000000.0,170000000.0,170000000.0,170000000.0,170000000.0,180000000.0,180000000.0,180000000.0,
Market Cap (Rs Cr),,,,,12196.65,8126.85,14514.6,9118.8,9844.7,13687.2,18059.4,12104.1,16664.0
P/E ratio,,,,,25.36,12.36,22.55,17.87,13.53,14.9,19.44,13.74,30.0
