metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Live
Stock Price (Rs),,,,,,,,,,,306.2,404.05,579.0
EPS in Rs,,,,,,0.54,0.11,0.06,0.07,0.07,6.97,8.16,
Equity Capital (Rs Cr),,,,,,47.0,47.0,47.0,49.0,49.0,56.0,56.0,
Face Value (Rs),2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,
Shares Outstanding,,,,,,235000000.0,235000000.0,235000000.0,245000000.0,245000000.0,280000000.0,280000000.0,
Market Cap (Rs Cr),,,,,,,,,,,8573.6,11313.4,16184.0
P/E ratio,,,,,,,,,,,43.93,49.52,70.4
