metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Live
Stock Price (Rs),,48.2,59.3,47.35,54.65,21.1,55.7,39.7,55.05,75.4,54.96,58.85,84.7
EPS in Rs,,,3.0,2.58,-3.99,-5.91,0.85,0.21,3.75,4.16,2.04,1.87,
Equity Capital (Rs Cr),,,3399.0,3404.0,4782.0,4810.0,5676.0,6218.0,6618.0,7070.0,7322.0,8602.0,
Face Value (Rs),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
Shares Outstanding,,,3399000000.0,3404000000.0,4782000000.0,4810000000.0,5676000000.0,6218000000.0,6618000000.0,7070000000.0,7322000000.0,8602000000.0,
Market Cap (Rs Cr),,,20156.07,16117.94,26133.63,10149.1,31615.32,24685.46,36432.09,53307.8,40241.71,50622.77,72968.0
P/E ratio,,,19.77,18.35,-13.7,-3.57,65.53,189.05,14.68,18.12,26.94,31.47,31.7
