metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Live
Stock Price (Rs),60.62,96.95,194.6,259.6,200.7,139.45,298.65,205.55,378.95,446.65,805.45,598.65,758.0
EPS in Rs,3.1,3.39,3.57,5.92,6.63,2.93,6.36,10.19,13.19,16.22,18.9,25.59,
Equity Capital (Rs Cr),33.0,33.0,33.0,33.0,33.0,34.0,35.0,35.0,35.0,35.0,35.0,35.0,
Face Value (Rs),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
Shares Outstanding,330000000.0,330000000.0,330000000.0,330000000.0,330000000.0,340000000.0,350000000.0,350000000.0,350000000.0,350000000.0,350000000.0,350000000.0,
Market Cap (Rs Cr),2000.46,3199.35,6421.8,8566.8,6623.1,4741.3,10452.75,7194.25,13263.25,15632.75,28190.75,20952.75,26602.0
P/E ratio,19.55,28.6,54.51,43.85,30.27,47.59,46.96,20.17,28.73,27.54,42.62,23.39,29.6
