metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Stock Price (Rs),175.15,217.7,283.15,273.7,204.6,139.05,318.35,452.45,468.7,545.7,785.6,775.5
EPS in Rs,6.64,1.96,29.61,14.45,8.67,26.43,25.26,51.12,53.37,50.68,49.41,32.02
Equity Capital (Rs Cr),18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
Face Value (Rs),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Shares Outstanding,180000000.0,180000000.0,180000000.0,180000000.0,180000000.0,180000000.0,180000000.0,180000000.0,180000000.0,180000000.0,180000000.0,180000000.0
Market Cap (Rs Cr),3152.7,3918.6,5096.7,4926.6,3682.8,2502.9,5730.3,8144.1,8436.6,9822.6,14140.8,13959.0
P/E ratio,26.38,111.07,9.56,18.94,23.6,5.26,12.6,8.85,8.78,10.77,15.9,24.22
