metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Live
Stock Price (Rs),72.71,66.83,94.24,109.52,119.43,51.03,90.33,103.77,105.15,181.05,183.04,137.71,181.0
EPS in Rs,4.67,2.76,4.98,7.09,9.68,13.93,9.21,18.4,8.54,15.06,18.93,11.53,
Equity Capital (Rs Cr),1268.0,1268.0,1691.0,2255.0,2255.0,4510.0,4440.0,4440.0,6575.0,6575.0,6575.0,6575.0,
Face Value (Rs),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
Shares Outstanding,1268000000.0,1268000000.0,1691000000.0,2255000000.0,2255000000.0,4510000000.0,4440000000.0,4440000000.0,6575000000.0,6575000000.0,6575000000.0,6575000000.0,
Market Cap (Rs Cr),9219.63,8474.04,15935.98,24696.76,26931.47,23014.53,40106.52,46073.88,69136.12,119040.38,120348.8,90544.32,119299.0
P/E ratio,15.57,24.21,18.92,15.45,12.34,3.66,9.81,5.64,12.31,12.02,9.67,11.94,12.1
