metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Stock Price (Rs),,,,658.21,472.8,715.97,3672.15,4308.8,2861.3,7479.25,13179.5,9673.0
EPS in Rs,7.65,27.46,8.66,10.76,11.19,20.81,27.28,32.05,42.9,61.47,181.87,236.61
Equity Capital (Rs Cr),3.0,3.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
Face Value (Rs),2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Shares Outstanding,15000000.0,15000000.0,55000000.0,55000000.0,55000000.0,60000000.0,60000000.0,60000000.0,60000000.0,60000000.0,60000000.0,60000000.0
Market Cap (Rs Cr),,,,3620.16,2600.4,4295.82,22032.9,25852.8,17167.8,44875.5,79077.0,58038.0
P/E ratio,,,,61.17,42.25,34.41,134.61,134.44,66.7,121.67,72.47,40.88
