metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Live
Stock Price (Rs),12.4,9.38,24.3,42.27,29.61,11.75,41.86,113.26,106.75,202.85,513.9,510.65,521.0
EPS in Rs,1.53,0.35,3.66,5.62,5.64,3.5,10.4,22.31,17.09,14.84,19.86,31.38,
Equity Capital (Rs Cr),36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,35.0,35.0,35.0,35.0,
Face Value (Rs),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
Shares Outstanding,360000000.0,360000000.0,360000000.0,360000000.0,360000000.0,360000000.0,360000000.0,360000000.0,350000000.0,350000000.0,350000000.0,350000000.0,
Market Cap (Rs Cr),446.4,337.68,874.8,1521.72,1065.96,423.0,1506.96,4077.36,3736.25,7099.75,17986.5,17872.75,18368.0
P/E ratio,8.1,26.8,6.64,7.52,5.25,3.36,4.02,5.08,6.25,13.67,25.88,16.27,16.7
