nse_symbol,year,metric,value
ABLBL,Mar 2025,EPS in Rs,1.4
ABLBL,Mar 2026,EPS in Rs,
ABLBL,Mar 2015,Equity Capital (Rs Cr),
ABLBL,Mar 2016,Equity Capital (Rs Cr),
ABLBL,Mar 2017,Equity Capital (Rs Cr),
ABLBL,Mar 2018,Equity Capital (Rs Cr),
ABLBL,Mar 2019,Equity Capital (Rs Cr),
ABLBL,Mar 2020,Equity Capital (Rs Cr),
ABLBL,Mar 2021,Equity Capital (Rs Cr),
ABLBL,Mar 2022,Equity Capital (Rs Cr),
ABLBL,Mar 2023,Equity Capital (Rs Cr),
ABLBL,Mar 2024,Equity Capital (Rs Cr),
ABLBL,Mar 2025,Equity Capital (Rs Cr),0.05
ABLBL,Mar 2026,Equity Capital (Rs Cr),1221.0
ABLBL,Mar 2015,Face Value (Rs),10.0
ABLBL,Mar 2016,Face Value (Rs),10.0
ABLBL,Mar 2017,Face Value (Rs),10.0
ABLBL,Mar 2018,Face Value (Rs),10.0
ABLBL,Mar 2019,Face Value (Rs),10.0
ABLBL,Mar 2020,Face Value (Rs),10.0
ABLBL,Mar 2021,Face Value (Rs),10.0
ABLBL,Mar 2022,Face Value (Rs),10.0
ABLBL,Mar 2023,Face Value (Rs),10.0
ABLBL,Mar 2024,Face Value (Rs),10.0
ABLBL,Mar 2025,Face Value (Rs),10.0
ABLBL,Mar 2026,Face Value (Rs),10.0
ABLBL,Mar 2015,Shares Outstanding,
ABLBL,Mar 2016,Shares Outstanding,
ABLBL,Mar 2017,Shares Outstanding,
ABLBL,Mar 2018,Shares Outstanding,
ABLBL,Mar 2019,Shares Outstanding,
ABLBL,Mar 2020,Shares Outstanding,
ABLBL,Mar 2021,Shares Outstanding,
ABLBL,Mar 2022,Shares Outstanding,
ABLBL,Mar 2023,Shares Outstanding,
ABLBL,Mar 2024,Shares Outstanding,
ABLBL,Mar 2025,Shares Outstanding,50000.0
ABLBL,Mar 2026,Shares Outstanding,1221000000.0
ABLBL,Mar 2015,Market Cap (Rs Cr),
ABLBL,Mar 2016,Market Cap (Rs Cr),
ABLBL,Mar 2017,Market Cap (Rs Cr),
ABLBL,Mar 2018,Market Cap (Rs Cr),
ABLBL,Mar 2019,Market Cap (Rs Cr),
ABLBL,Mar 2020,Market Cap (Rs Cr),
ABLBL,Mar 2021,Market Cap (Rs Cr),
ABLBL,Mar 2022,Market Cap (Rs Cr),
ABLBL,Mar 2023,Market Cap (Rs Cr),
ABLBL,Mar 2024,Market Cap (Rs Cr),
ABLBL,Mar 2025,Market Cap (Rs Cr),
ABLBL,Mar 2026,Market Cap (Rs Cr),10772.88
ABLBL,Mar 2015,P/E ratio,
ABLBL,Mar 2016,P/E ratio,
ABLBL,Mar 2017,P/E ratio,
ABLBL,Mar 2018,P/E ratio,
ABLBL,Mar 2019,P/E ratio,
