nse_symbol,year,metric,value
ACE,Mar 2026,Market Cap (Rs Cr),8987.4
ACE,Mar 2015,P/E ratio,60.52
ACE,Mar 2016,P/E ratio,45.53
ACE,Mar 2017,P/E ratio,45.61
ACE,Mar 2018,P/E ratio,37.76
ACE,Mar 2019,P/E ratio,22.85
ACE,Mar 2020,P/E ratio,7.4
ACE,Mar 2021,P/E ratio,21.96
ACE,Mar 2022,P/E ratio,27.27
ACE,Mar 2023,P/E ratio,28.24
ACE,Mar 2024,P/E ratio,51.77
ACE,Mar 2025,P/E ratio,36.59
ACE,Mar 2026,P/E ratio,21.48
ACUTAAS,Mar 2015,Stock Price (Rs),
ACUTAAS,Mar 2016,Stock Price (Rs),
ACUTAAS,Mar 2017,Stock Price (Rs),
ACUTAAS,Mar 2018,Stock Price (Rs),
ACUTAAS,Mar 2019,Stock Price (Rs),
ACUTAAS,Mar 2020,Stock Price (Rs),
ACUTAAS,Mar 2021,Stock Price (Rs),
ACUTAAS,Mar 2022,Stock Price (Rs),501.12
ACUTAAS,Mar 2023,Stock Price (Rs),444.85
ACUTAAS,Mar 2024,Stock Price (Rs),546.85
ACUTAAS,Mar 2025,Stock Price (Rs),1220.4
ACUTAAS,Mar 2026,Stock Price (Rs),2558.6
ACUTAAS,Mar 2015,EPS in Rs,
ACUTAAS,Mar 2016,EPS in Rs,
ACUTAAS,Mar 2017,EPS in Rs,40.17
ACUTAAS,Mar 2018,EPS in Rs,61.67
ACUTAAS,Mar 2019,EPS in Rs,11.1
ACUTAAS,Mar 2020,EPS in Rs,13.08
ACUTAAS,Mar 2021,EPS in Rs,8.57
ACUTAAS,Mar 2022,EPS in Rs,9.87
ACUTAAS,Mar 2023,EPS in Rs,11.43
ACUTAAS,Mar 2024,EPS in Rs,5.8
ACUTAAS,Mar 2025,EPS in Rs,19.38
ACUTAAS,Mar 2026,EPS in Rs,43.51
ACUTAAS,Mar 2015,Equity Capital (Rs Cr),
ACUTAAS,Mar 2016,Equity Capital (Rs Cr),
ACUTAAS,Mar 2017,Equity Capital (Rs Cr),2.0
ACUTAAS,Mar 2018,Equity Capital (Rs Cr),2.0
ACUTAAS,Mar 2019,Equity Capital (Rs Cr),10.0
ACUTAAS,Mar 2020,Equity Capital (Rs Cr),10.0
ACUTAAS,Mar 2021,Equity Capital (Rs Cr),32.0
ACUTAAS,Mar 2022,Equity Capital (Rs Cr),36.0
ACUTAAS,Mar 2023,Equity Capital (Rs Cr),36.0
ACUTAAS,Mar 2024,Equity Capital (Rs Cr),37.0
ACUTAAS,Mar 2025,Equity Capital (Rs Cr),41.0
ACUTAAS,Mar 2026,Equity Capital (Rs Cr),41.0
ACUTAAS,Mar 2015,Face Value (Rs),5.0
ACUTAAS,Mar 2016,Face Value (Rs),5.0
ACUTAAS,Mar 2017,Face Value (Rs),5.0
ACUTAAS,Mar 2018,Face Value (Rs),5.0
ACUTAAS,Mar 2019,Face Value (Rs),5.0
ACUTAAS,Mar 2020,Face Value (Rs),5.0
ACUTAAS,Mar 2021,Face Value (Rs),5.0
ACUTAAS,Mar 2022,Face Value (Rs),5.0
ACUTAAS,Mar 2023,Face Value (Rs),5.0
ACUTAAS,Mar 2024,Face Value (Rs),5.0
ACUTAAS,Mar 2025,Face Value (Rs),5.0
ACUTAAS,Mar 2026,Face Value (Rs),5.0
ACUTAAS,Mar 2015,Shares Outstanding,
ACUTAAS,Mar 2016,Shares Outstanding,
ACUTAAS,Mar 2017,Shares Outstanding,4000000.0
ACUTAAS,Mar 2018,Shares Outstanding,4000000.0
ACUTAAS,Mar 2019,Shares Outstanding,20000000.0
ACUTAAS,Mar 2020,Shares Outstanding,20000000.0
ACUTAAS,Mar 2021,Shares Outstanding,64000000.0
ACUTAAS,Mar 2022,Shares Outstanding,72000000.0
ACUTAAS,Mar 2023,Shares Outstanding,72000000.0
ACUTAAS,Mar 2024,Shares Outstanding,74000000.0
ACUTAAS,Mar 2025,Shares Outstanding,82000000.0
ACUTAAS,Mar 2026,Shares Outstanding,82000000.0
ACUTAAS,Mar 2015,Market Cap (Rs Cr),
ACUTAAS,Mar 2016,Market Cap (Rs Cr),
ACUTAAS,Mar 2017,Market Cap (Rs Cr),
ACUTAAS,Mar 2018,Market Cap (Rs Cr),
ACUTAAS,Mar 2019,Market Cap (Rs Cr),
ACUTAAS,Mar 2020,Market Cap (Rs Cr),
ACUTAAS,Mar 2021,Market Cap (Rs Cr),
ACUTAAS,Mar 2022,Market Cap (Rs Cr),3608.06
ACUTAAS,Mar 2023,Market Cap (Rs Cr),3202.92
ACUTAAS,Mar 2024,Market Cap (Rs Cr),4046.69
ACUTAAS,Mar 2025,Market Cap (Rs Cr),10007.28
ACUTAAS,Mar 2026,Market Cap (Rs Cr),20980.52
ACUTAAS,Mar 2015,P/E ratio,
ACUTAAS,Mar 2016,P/E ratio,
ACUTAAS,Mar 2017,P/E ratio,
ACUTAAS,Mar 2018,P/E ratio,
ACUTAAS,Mar 2019,P/E ratio,
ACUTAAS,Mar 2020,P/E ratio,
ACUTAAS,Mar 2021,P/E ratio,
ACUTAAS,Mar 2022,P/E ratio,50.77
ACUTAAS,Mar 2023,P/E ratio,38.92
ACUTAAS,Mar 2024,P/E ratio,94.28
ACUTAAS,Mar 2025,P/E ratio,62.97
ACUTAAS,Mar 2026,P/E ratio,58.8
ADANIENSOL,Mar 2015,Stock Price (Rs),
ADANIENSOL,Mar 2016,Stock Price (Rs),34.35
ADANIENSOL,Mar 2017,Stock Price (Rs),64.15
ADANIENSOL,Mar 2018,Stock Price (Rs),193.7
ADANIENSOL,Mar 2019,Stock Price (Rs),217.75
ADANIENSOL,Mar 2020,Stock Price (Rs),189.05
ADANIENSOL,Mar 2021,Stock Price (Rs),908.4
ADANIENSOL,Mar 2022,Stock Price (Rs),2368.15
ADANIENSOL,Mar 2023,Stock Price (Rs),993.05
ADANIENSOL,Mar 2024,Stock Price (Rs),1026.7
ADANIENSOL,Mar 2025,Stock Price (Rs),872.0
ADANIENSOL,Mar 2026,Stock Price (Rs),934.9
ADANIENSOL,Mar 2015,EPS in Rs,-0.06
ADANIENSOL,Mar 2016,EPS in Rs,3.35
ADANIENSOL,Mar 2017,EPS in Rs,3.79
ADANIENSOL,Mar 2018,EPS in Rs,10.39
ADANIENSOL,Mar 2019,EPS in Rs,5.08
ADANIENSOL,Mar 2020,EPS in Rs,6.74
ADANIENSOL,Mar 2021,EPS in Rs,11.13
ADANIENSOL,Mar 2022,EPS in Rs,10.95
ADANIENSOL,Mar 2023,EPS in Rs,11.26
ADANIENSOL,Mar 2024,EPS in Rs,10.2
ADANIENSOL,Mar 2025,EPS in Rs,8.82
ADANIENSOL,Mar 2026,EPS in Rs,19.0
ADANIENSOL,Mar 2015,Equity Capital (Rs Cr),1090.0
ADANIENSOL,Mar 2016,Equity Capital (Rs Cr),1100.0
ADANIENSOL,Mar 2017,Equity Capital (Rs Cr),1100.0
ADANIENSOL,Mar 2018,Equity Capital (Rs Cr),1100.0
ADANIENSOL,Mar 2019,Equity Capital (Rs Cr),1100.0
ADANIENSOL,Mar 2020,Equity Capital (Rs Cr),1100.0
ADANIENSOL,Mar 2021,Equity Capital (Rs Cr),1100.0
ADANIENSOL,Mar 2022,Equity Capital (Rs Cr),1100.0
ADANIENSOL,Mar 2023,Equity Capital (Rs Cr),1115.0
ADANIENSOL,Mar 2024,Equity Capital (Rs Cr),1115.0
ADANIENSOL,Mar 2025,Equity Capital (Rs Cr),1201.0
ADANIENSOL,Mar 2026,Equity Capital (Rs Cr),1201.0
ADANIENSOL,Mar 2015,Face Value (Rs),10.0
ADANIENSOL,Mar 2016,Face Value (Rs),10.0
ADANIENSOL,Mar 2017,Face Value (Rs),10.0
ADANIENSOL,Mar 2018,Face Value (Rs),10.0
ADANIENSOL,Mar 2019,Face Value (Rs),10.0
ADANIENSOL,Mar 2020,Face Value (Rs),10.0
ADANIENSOL,Mar 2021,Face Value (Rs),10.0
ADANIENSOL,Mar 2022,Face Value (Rs),10.0
ADANIENSOL,Mar 2023,Face Value (Rs),10.0
ADANIENSOL,Mar 2024,Face Value (Rs),10.0
ADANIENSOL,Mar 2025,Face Value (Rs),10.0
ADANIENSOL,Mar 2026,Face Value (Rs),10.0
ADANIENSOL,Mar 2015,Shares Outstanding,1090000000.0
ADANIENSOL,Mar 2016,Shares Outstanding,1100000000.0
ADANIENSOL,Mar 2017,Shares Outstanding,1100000000.0
ADANIENSOL,Mar 2018,Shares Outstanding,1100000000.0
ADANIENSOL,Mar 2019,Shares Outstanding,1100000000.0
ADANIENSOL,Mar 2020,Shares Outstanding,1100000000.0
ADANIENSOL,Mar 2021,Shares Outstanding,1100000000.0
ADANIENSOL,Mar 2022,Shares Outstanding,1100000000.0
ADANIENSOL,Mar 2023,Shares Outstanding,1115000000.0
ADANIENSOL,Mar 2024,Shares Outstanding,1115000000.0
ADANIENSOL,Mar 2025,Shares Outstanding,1201000000.0
ADANIENSOL,Mar 2026,Shares Outstanding,1201000000.0
ADANIENSOL,Mar 2015,Market Cap (Rs Cr),
ADANIENSOL,Mar 2016,Market Cap (Rs Cr),3778.5
ADANIENSOL,Mar 2017,Market Cap (Rs Cr),7056.5
ADANIENSOL,Mar 2018,Market Cap (Rs Cr),21307.0
ADANIENSOL,Mar 2019,Market Cap (Rs Cr),23952.5
ADANIENSOL,Mar 2020,Market Cap (Rs Cr),20795.5
ADANIENSOL,Mar 2021,Market Cap (Rs Cr),99924.0
ADANIENSOL,Mar 2022,Market Cap (Rs Cr),260496.5
ADANIENSOL,Mar 2023,Market Cap (Rs Cr),110725.07
ADANIENSOL,Mar 2024,Market Cap (Rs Cr),114477.05
ADANIENSOL,Mar 2025,Market Cap (Rs Cr),104727.2
ADANIENSOL,Mar 2026,Market Cap (Rs Cr),112281.49
ADANIENSOL,Mar 2015,P/E ratio,
ADANIENSOL,Mar 2016,P/E ratio,10.25
ADANIENSOL,Mar 2017,P/E ratio,16.93
ADANIENSOL,Mar 2018,P/E ratio,18.64
ADANIENSOL,Mar 2019,P/E ratio,42.86
ADANIENSOL,Mar 2020,P/E ratio,28.05
ADANIENSOL,Mar 2021,P/E ratio,81.62
ADANIENSOL,Mar 2022,P/E ratio,216.27
ADANIENSOL,Mar 2023,P/E ratio,88.19
ADANIENSOL,Mar 2024,P/E ratio,100.66
ADANIENSOL,Mar 2025,P/E ratio,98.87
ADANIENSOL,Mar 2026,P/E ratio,49.21
ADANIENT,Mar 2015,Stock Price (Rs),94.32
ADANIENT,Mar 2016,Stock Price (Rs),40.21
ADANIENT,Mar 2017,Stock Price (Rs),59.15
ADANIENT,Mar 2018,Stock Price (Rs),85.22
ADANIENT,Mar 2019,Stock Price (Rs),137.8
ADANIENT,Mar 2020,Stock Price (Rs),137.6
ADANIENT,Mar 2021,Stock Price (Rs),1031.15
ADANIENT,Mar 2022,Stock Price (Rs),2014.75
ADANIENT,Mar 2023,Stock Price (Rs),1750.45
ADANIENT,Mar 2024,Stock Price (Rs),3197.1
ADANIENT,Mar 2025,Stock Price (Rs),2315.8
ADANIENT,Mar 2026,Stock Price (Rs),1758.8
ADANIENT,Mar 2015,EPS in Rs,15.81
ADANIENT,Mar 2016,EPS in Rs,8.21
ADANIENT,Mar 2017,EPS in Rs,8.02
ADANIENT,Mar 2018,EPS in Rs,6.15
ADANIENT,Mar 2019,EPS in Rs,5.82
ADANIENT,Mar 2020,EPS in Rs,9.24
ADANIENT,Mar 2021,EPS in Rs,7.49
ADANIENT,Mar 2022,EPS in Rs,6.3
ADANIENT,Mar 2023,EPS in Rs,19.3
ADANIENT,Mar 2024,EPS in Rs,25.37
ADANIENT,Mar 2025,EPS in Rs,55.02
ADANIENT,Mar 2026,EPS in Rs,72.31
ADANIENT,Mar 2015,Equity Capital (Rs Cr),110.0
ADANIENT,Mar 2016,Equity Capital (Rs Cr),110.0
ADANIENT,Mar 2017,Equity Capital (Rs Cr),110.0
ADANIENT,Mar 2018,Equity Capital (Rs Cr),110.0
ADANIENT,Mar 2019,Equity Capital (Rs Cr),110.0
ADANIENT,Mar 2020,Equity Capital (Rs Cr),110.0
ADANIENT,Mar 2021,Equity Capital (Rs Cr),110.0
ADANIENT,Mar 2022,Equity Capital (Rs Cr),110.0
ADANIENT,Mar 2023,Equity Capital (Rs Cr),114.0
ADANIENT,Mar 2024,Equity Capital (Rs Cr),114.0
ADANIENT,Mar 2025,Equity Capital (Rs Cr),115.0
ADANIENT,Mar 2026,Equity Capital (Rs Cr),129.0
ADANIENT,Mar 2015,Face Value (Rs),1.0
ADANIENT,Mar 2016,Face Value (Rs),1.0
ADANIENT,Mar 2017,Face Value (Rs),1.0
ADANIENT,Mar 2018,Face Value (Rs),1.0
ADANIENT,Mar 2019,Face Value (Rs),1.0
ADANIENT,Mar 2020,Face Value (Rs),1.0
ADANIENT,Mar 2021,Face Value (Rs),1.0
ADANIENT,Mar 2022,Face Value (Rs),1.0
ADANIENT,Mar 2023,Face Value (Rs),1.0
ADANIENT,Mar 2024,Face Value (Rs),1.0
ADANIENT,Mar 2025,Face Value (Rs),1.0
ADANIENT,Mar 2026,Face Value (Rs),1.0
ADANIENT,Mar 2015,Shares Outstanding,1100000000.0
ADANIENT,Mar 2016,Shares Outstanding,1100000000.0
ADANIENT,Mar 2017,Shares Outstanding,1100000000.0
ADANIENT,Mar 2018,Shares Outstanding,1100000000.0
ADANIENT,Mar 2019,Shares Outstanding,1100000000.0
ADANIENT,Mar 2020,Shares Outstanding,1100000000.0
ADANIENT,Mar 2021,Shares Outstanding,1100000000.0
ADANIENT,Mar 2022,Shares Outstanding,1100000000.0
ADANIENT,Mar 2023,Shares Outstanding,1140000000.0
ADANIENT,Mar 2024,Shares Outstanding,1140000000.0
ADANIENT,Mar 2025,Shares Outstanding,1150000000.0
ADANIENT,Mar 2026,Shares Outstanding,1290000000.0
ADANIENT,Mar 2015,Market Cap (Rs Cr),10375.2
ADANIENT,Mar 2016,Market Cap (Rs Cr),4423.1
ADANIENT,Mar 2017,Market Cap (Rs Cr),6506.5
ADANIENT,Mar 2018,Market Cap (Rs Cr),9374.2
ADANIENT,Mar 2019,Market Cap (Rs Cr),15158.0
ADANIENT,Mar 2020,Market Cap (Rs Cr),15136.0
ADANIENT,Mar 2021,Market Cap (Rs Cr),113426.5
ADANIENT,Mar 2022,Market Cap (Rs Cr),221622.5
ADANIENT,Mar 2023,Market Cap (Rs Cr),199551.3
ADANIENT,Mar 2024,Market Cap (Rs Cr),364469.4
ADANIENT,Mar 2025,Market Cap (Rs Cr),266317.0
ADANIENT,Mar 2026,Market Cap (Rs Cr),226885.2
ADANIENT,Mar 2015,P/E ratio,5.97
ADANIENT,Mar 2016,P/E ratio,4.9
ADANIENT,Mar 2017,P/E ratio,7.38
ADANIENT,Mar 2018,P/E ratio,13.86
ADANIENT,Mar 2019,P/E ratio,23.68
ADANIENT,Mar 2020,P/E ratio,14.89
ADANIENT,Mar 2021,P/E ratio,137.67
ADANIENT,Mar 2022,P/E ratio,319.8
ADANIENT,Mar 2023,P/E ratio,90.7
ADANIENT,Mar 2024,P/E ratio,126.02
ADANIENT,Mar 2025,P/E ratio,42.09
ADANIENT,Mar 2026,P/E ratio,24.32
ADANIGREEN,Mar 2015,Stock Price (Rs),
ADANIGREEN,Mar 2016,Stock Price (Rs),
ADANIGREEN,Mar 2017,Stock Price (Rs),
ADANIGREEN,Mar 2018,Stock Price (Rs),
ADANIGREEN,Mar 2019,Stock Price (Rs),35.85
ADANIGREEN,Mar 2020,Stock Price (Rs),153.25
ADANIGREEN,Mar 2021,Stock Price (Rs),1104.85
ADANIGREEN,Mar 2022,Stock Price (Rs),1914.7
ADANIGREEN,Mar 2023,Stock Price (Rs),881.15
ADANIGREEN,Mar 2024,Stock Price (Rs),1835.15
ADANIGREEN,Mar 2025,Stock Price (Rs),948.65
ADANIGREEN,Mar 2026,Stock Price (Rs),806.9
ADANIGREEN,Mar 2015,EPS in Rs,
ADANIGREEN,Mar 2016,EPS in Rs,
ADANIGREEN,Mar 2017,EPS in Rs,-0.58
ADANIGREEN,Mar 2018,EPS in Rs,-0.37
ADANIGREEN,Mar 2019,EPS in Rs,-1.0
ADANIGREEN,Mar 2020,EPS in Rs,-3.03
ADANIGREEN,Mar 2021,EPS in Rs,-0.15
ADANIGREEN,Mar 2022,EPS in Rs,1.34
ADANIGREEN,Mar 2023,EPS in Rs,3.13
ADANIGREEN,Mar 2024,EPS in Rs,6.15
ADANIGREEN,Mar 2025,EPS in Rs,6.94
ADANIGREEN,Mar 2026,EPS in Rs,9.12
ADANIGREEN,Mar 2015,Equity Capital (Rs Cr),
ADANIGREEN,Mar 2016,Equity Capital (Rs Cr),160.0
ADANIGREEN,Mar 2017,Equity Capital (Rs Cr),1274.0
ADANIGREEN,Mar 2018,Equity Capital (Rs Cr),1564.0
ADANIGREEN,Mar 2019,Equity Capital (Rs Cr),1564.0
ADANIGREEN,Mar 2020,Equity Capital (Rs Cr),1564.0
ADANIGREEN,Mar 2021,Equity Capital (Rs Cr),1564.0
ADANIGREEN,Mar 2022,Equity Capital (Rs Cr),1564.0
ADANIGREEN,Mar 2023,Equity Capital (Rs Cr),1584.0
ADANIGREEN,Mar 2024,Equity Capital (Rs Cr),1584.0
ADANIGREEN,Mar 2025,Equity Capital (Rs Cr),1584.0
ADANIGREEN,Mar 2026,Equity Capital (Rs Cr),1647.0
ADANIGREEN,Mar 2015,Face Value (Rs),10.0
ADANIGREEN,Mar 2016,Face Value (Rs),10.0
ADANIGREEN,Mar 2017,Face Value (Rs),10.0
ADANIGREEN,Mar 2018,Face Value (Rs),10.0
ADANIGREEN,Mar 2019,Face Value (Rs),10.0
ADANIGREEN,Mar 2020,Face Value (Rs),10.0
ADANIGREEN,Mar 2021,Face Value (Rs),10.0
ADANIGREEN,Mar 2022,Face Value (Rs),10.0
ADANIGREEN,Mar 2023,Face Value (Rs),10.0
ADANIGREEN,Mar 2024,Face Value (Rs),10.0
ADANIGREEN,Mar 2025,Face Value (Rs),10.0
ADANIGREEN,Mar 2026,Face Value (Rs),10.0
ADANIGREEN,Mar 2015,Shares Outstanding,
ADANIGREEN,Mar 2016,Shares Outstanding,160000000.0
ADANIGREEN,Mar 2017,Shares Outstanding,1274000000.0
ADANIGREEN,Mar 2018,Shares Outstanding,1564000000.0
ADANIGREEN,Mar 2019,Shares Outstanding,1564000000.0
ADANIGREEN,Mar 2020,Shares Outstanding,1564000000.0
ADANIGREEN,Mar 2021,Shares Outstanding,1564000000.0
ADANIGREEN,Mar 2022,Shares Outstanding,1564000000.0
ADANIGREEN,Mar 2023,Shares Outstanding,1584000000.0
ADANIGREEN,Mar 2024,Shares Outstanding,1584000000.0
ADANIGREEN,Mar 2025,Shares Outstanding,1584000000.0
ADANIGREEN,Mar 2026,Shares Outstanding,1647000000.0
ADANIGREEN,Mar 2015,Market Cap (Rs Cr),
ADANIGREEN,Mar 2016,Market Cap (Rs Cr),
ADANIGREEN,Mar 2017,Market Cap (Rs Cr),
ADANIGREEN,Mar 2018,Market Cap (Rs Cr),
ADANIGREEN,Mar 2019,Market Cap (Rs Cr),5606.94
ADANIGREEN,Mar 2020,Market Cap (Rs Cr),23968.3
ADANIGREEN,Mar 2021,Market Cap (Rs Cr),172798.54
ADANIGREEN,Mar 2022,Market Cap (Rs Cr),299459.08
ADANIGREEN,Mar 2023,Market Cap (Rs Cr),139574.16
ADANIGREEN,Mar 2024,Market Cap (Rs Cr),290687.76
ADANIGREEN,Mar 2025,Market Cap (Rs Cr),150266.16
ADANIGREEN,Mar 2026,Market Cap (Rs Cr),132896.43
ADANIGREEN,Mar 2015,P/E ratio,
ADANIGREEN,Mar 2016,P/E ratio,
ADANIGREEN,Mar 2017,P/E ratio,
ADANIGREEN,Mar 2018,P/E ratio,
ADANIGREEN,Mar 2019,P/E ratio,-35.85
ADANIGREEN,Mar 2020,P/E ratio,-50.58
ADANIGREEN,Mar 2021,P/E ratio,-7365.67
ADANIGREEN,Mar 2022,P/E ratio,1428.88
ADANIGREEN,Mar 2023,P/E ratio,281.52
ADANIGREEN,Mar 2024,P/E ratio,298.4
ADANIGREEN,Mar 2025,P/E ratio,136.69
ADANIGREEN,Mar 2026,P/E ratio,88.48
ADANIPORTS,Mar 2015,Stock Price (Rs),308.2
ADANIPORTS,Mar 2016,Stock Price (Rs),247.7
ADANIPORTS,Mar 2017,Stock Price (Rs),339.6
ADANIPORTS,Mar 2018,Stock Price (Rs),354.1
ADANIPORTS,Mar 2019,Stock Price (Rs),381.3
ADANIPORTS,Mar 2020,Stock Price (Rs),251.3
ADANIPORTS,Mar 2021,Stock Price (Rs),702.4
ADANIPORTS,Mar 2022,Stock Price (Rs),774.2
ADANIPORTS,Mar 2023,Stock Price (Rs),631.9
ADANIPORTS,Mar 2024,Stock Price (Rs),1341.85
ADANIPORTS,Mar 2025,Stock Price (Rs),1182.95
ADANIPORTS,Mar 2026,Stock Price (Rs),1312.6
ADANIPORTS,Mar 2015,EPS in Rs,11.18
ADANIPORTS,Mar 2016,EPS in Rs,13.99
ADANIPORTS,Mar 2017,EPS in Rs,18.89
ADANIPORTS,Mar 2018,EPS in Rs,17.74
ADANIPORTS,Mar 2019,EPS in Rs,19.27
ADANIPORTS,Mar 2020,EPS in Rs,18.52
ADANIPORTS,Mar 2021,EPS in Rs,24.58
ADANIPORTS,Mar 2022,EPS in Rs,23.13
ADANIPORTS,Mar 2023,EPS in Rs,24.58
ADANIPORTS,Mar 2024,EPS in Rs,37.55
ADANIPORTS,Mar 2025,EPS in Rs,51.35
ADANIPORTS,Mar 2026,EPS in Rs,55.58
ADANIPORTS,Mar 2015,Equity Capital (Rs Cr),414.0
ADANIPORTS,Mar 2016,Equity Capital (Rs Cr),414.0
ADANIPORTS,Mar 2017,Equity Capital (Rs Cr),414.0
ADANIPORTS,Mar 2018,Equity Capital (Rs Cr),414.0
ADANIPORTS,Mar 2019,Equity Capital (Rs Cr),414.0
ADANIPORTS,Mar 2020,Equity Capital (Rs Cr),406.0
ADANIPORTS,Mar 2021,Equity Capital (Rs Cr),406.0
ADANIPORTS,Mar 2022,Equity Capital (Rs Cr),422.0
ADANIPORTS,Mar 2023,Equity Capital (Rs Cr),432.0
ADANIPORTS,Mar 2024,Equity Capital (Rs Cr),432.0
ADANIPORTS,Mar 2025,Equity Capital (Rs Cr),432.0
ADANIPORTS,Mar 2026,Equity Capital (Rs Cr),461.0
ADANIPORTS,Mar 2015,Face Value (Rs),2.0
ADANIPORTS,Mar 2016,Face Value (Rs),2.0
ADANIPORTS,Mar 2017,Face Value (Rs),2.0
ADANIPORTS,Mar 2018,Face Value (Rs),2.0
ADANIPORTS,Mar 2019,Face Value (Rs),2.0
ADANIPORTS,Mar 2020,Face Value (Rs),2.0
ADANIPORTS,Mar 2021,Face Value (Rs),2.0
ADANIPORTS,Mar 2022,Face Value (Rs),2.0
ADANIPORTS,Mar 2023,Face Value (Rs),2.0
ADANIPORTS,Mar 2024,Face Value (Rs),2.0
ADANIPORTS,Mar 2025,Face Value (Rs),2.0
ADANIPORTS,Mar 2026,Face Value (Rs),2.0
ADANIPORTS,Mar 2015,Shares Outstanding,2070000000.0
ADANIPORTS,Mar 2016,Shares Outstanding,2070000000.0
ADANIPORTS,Mar 2017,Shares Outstanding,2070000000.0
ADANIPORTS,Mar 2018,Shares Outstanding,2070000000.0
ADANIPORTS,Mar 2019,Shares Outstanding,2070000000.0
ADANIPORTS,Mar 2020,Shares Outstanding,2030000000.0
ADANIPORTS,Mar 2021,Shares Outstanding,2030000000.0
ADANIPORTS,Mar 2022,Shares Outstanding,2110000000.0
ADANIPORTS,Mar 2023,Shares Outstanding,2160000000.0
ADANIPORTS,Mar 2024,Shares Outstanding,2160000000.0
ADANIPORTS,Mar 2025,Shares Outstanding,2160000000.0
ADANIPORTS,Mar 2026,Shares Outstanding,2305000000.0
ADANIPORTS,Mar 2015,Market Cap (Rs Cr),63797.4
ADANIPORTS,Mar 2016,Market Cap (Rs Cr),51273.9
ADANIPORTS,Mar 2017,Market Cap (Rs Cr),70297.2
ADANIPORTS,Mar 2018,Market Cap (Rs Cr),73298.7
ADANIPORTS,Mar 2019,Market Cap (Rs Cr),78929.1
ADANIPORTS,Mar 2020,Market Cap (Rs Cr),51013.9
ADANIPORTS,Mar 2021,Market Cap (Rs Cr),142587.2
ADANIPORTS,Mar 2022,Market Cap (Rs Cr),163356.2
ADANIPORTS,Mar 2023,Market Cap (Rs Cr),136490.4
ADANIPORTS,Mar 2024,Market Cap (Rs Cr),289839.6
ADANIPORTS,Mar 2025,Market Cap (Rs Cr),255517.2
ADANIPORTS,Mar 2026,Market Cap (Rs Cr),302554.3
ADANIPORTS,Mar 2015,P/E ratio,27.57
ADANIPORTS,Mar 2016,P/E ratio,17.71
ADANIPORTS,Mar 2017,P/E ratio,17.98
ADANIPORTS,Mar 2018,P/E ratio,19.96
ADANIPORTS,Mar 2019,P/E ratio,19.79
ADANIPORTS,Mar 2020,P/E ratio,13.57
ADANIPORTS,Mar 2021,P/E ratio,28.58
ADANIPORTS,Mar 2022,P/E ratio,33.47
ADANIPORTS,Mar 2023,P/E ratio,25.71
ADANIPORTS,Mar 2024,P/E ratio,35.74
ADANIPORTS,Mar 2025,P/E ratio,23.04
ADANIPORTS,Mar 2026,P/E ratio,23.62
ADANIPOWER,Mar 2015,Stock Price (Rs),9.46
ADANIPOWER,Mar 2016,Stock Price (Rs),6.89
ADANIPOWER,Mar 2017,Stock Price (Rs),7.98
ADANIPOWER,Mar 2018,Stock Price (Rs),4.74
ADANIPOWER,Mar 2019,Stock Price (Rs),9.38
ADANIPOWER,Mar 2020,Stock Price (Rs),5.55
ADANIPOWER,Mar 2021,Stock Price (Rs),17.01
ADANIPOWER,Mar 2022,Stock Price (Rs),37.02
ADANIPOWER,Mar 2023,Stock Price (Rs),38.32
ADANIPOWER,Mar 2024,Stock Price (Rs),106.76
ADANIPOWER,Mar 2025,Stock Price (Rs),101.86
ADANIPOWER,Mar 2026,Stock Price (Rs),150.43
ADANIPOWER,Mar 2015,EPS in Rs,-0.57
ADANIPOWER,Mar 2016,EPS in Rs,0.33
ADANIPOWER,Mar 2017,EPS in Rs,-3.2
ADANIPOWER,Mar 2018,EPS in Rs,-1.09
ADANIPOWER,Mar 2019,EPS in Rs,-0.51
ADANIPOWER,Mar 2020,EPS in Rs,-1.18
ADANIPOWER,Mar 2021,EPS in Rs,0.66
ADANIPOWER,Mar 2022,EPS in Rs,2.55
ADANIPOWER,Mar 2023,EPS in Rs,5.56
ADANIPOWER,Mar 2024,EPS in Rs,10.8
ADANIPOWER,Mar 2025,EPS in Rs,6.71
ADANIPOWER,Mar 2026,EPS in Rs,6.66
ADANIPOWER,Mar 2015,Equity Capital (Rs Cr),2872.0
ADANIPOWER,Mar 2016,Equity Capital (Rs Cr),3334.0
ADANIPOWER,Mar 2017,Equity Capital (Rs Cr),3857.0
ADANIPOWER,Mar 2018,Equity Capital (Rs Cr),3857.0
ADANIPOWER,Mar 2019,Equity Capital (Rs Cr),3857.0
ADANIPOWER,Mar 2020,Equity Capital (Rs Cr),3857.0
ADANIPOWER,Mar 2021,Equity Capital (Rs Cr),3857.0
ADANIPOWER,Mar 2022,Equity Capital (Rs Cr),3857.0
ADANIPOWER,Mar 2023,Equity Capital (Rs Cr),3857.0
ADANIPOWER,Mar 2024,Equity Capital (Rs Cr),3857.0
ADANIPOWER,Mar 2025,Equity Capital (Rs Cr),3857.0
ADANIPOWER,Mar 2026,Equity Capital (Rs Cr),3857.0
ADANIPOWER,Mar 2015,Face Value (Rs),2.0
ADANIPOWER,Mar 2016,Face Value (Rs),2.0
ADANIPOWER,Mar 2017,Face Value (Rs),2.0
