metric,Mar 2002,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Live
Stock Price (Rs),,42.35,30.25,26.65,17.45,14.25,7.05,16.0,18.15,22.45,59.95,38.97,31.38,33.9
EPS in Rs,0.46,,,,,,,0.9,1.11,1.41,1.76,2.81,,
Equity Capital (Rs Cr),445.0,,,,,,,16647.0,18902.0,18902.0,18902.0,19257.0,19257.0,
Face Value (Rs),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
Shares Outstanding,445000000.0,,,,,,,16647000000.0,18902000000.0,18902000000.0,18902000000.0,19257000000.0,19257000000.0,
Market Cap (Rs Cr),,,,,,,,26635.2,34307.13,42434.99,113317.49,75044.53,60428.47,65280.0
P/E ratio,,,,,,,,17.78,16.35,15.92,34.06,13.87,,11.0
