metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Stock Price (Rs),105.34,102.3,118.14,156.05,197.83,64.54,92.95,154.65,165.65,449.5,353.5,273.55
EPS in Rs,1.01,2.1,1.65,2.87,2.1,2.38,-5.91,-1.56,5.03,10.22,11.82,10.05
Equity Capital (Rs Cr),114.0,114.0,114.0,114.0,114.0,114.0,125.0,125.0,125.0,125.0,125.0,125.0
Face Value (Rs),2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Shares Outstanding,570000000.0,570000000.0,570000000.0,570000000.0,570000000.0,570000000.0,625000000.0,625000000.0,625000000.0,625000000.0,625000000.0,625000000.0
Market Cap (Rs Cr),6004.38,5831.1,6733.98,8894.85,11276.31,3678.78,5809.38,9665.62,10353.12,28093.75,22093.75,17096.88
P/E ratio,104.3,48.71,71.6,54.37,94.2,27.12,-15.73,-99.13,32.93,43.98,29.91,27.22
