nse_symbol,status
360ONE,ok:FV=1.0:yrs=7:current_mcap=44256.0:current_pe=36.4
3MINDIA,ok:FV=10.0:yrs=12:current_mcap=36649.0:current_pe=60.0
ABLBL,ok:FV=10.0:yrs=1:current_mcap=12078.0:current_pe=57.8
ABREL,ok:FV=10.0:yrs=12:current_mcap=13728.0:current_pe=None
ABB,ok:FV=2.0:yrs=12:current_mcap=151374.0:current_pe=99.4
ACC,ok:FV=10.0:yrs=12:current_mcap=25715.0:current_pe=12.2
ACMESOLAR,ok:FV=2.0:yrs=2:current_mcap=20305.0:current_pe=40.9
AIAENG,ok:FV=2.0:yrs=12:current_mcap=42499.0:current_pe=33.4
APLAPOLLO,ok:FV=2.0:yrs=12:current_mcap=49089.0:current_pe=40.8
AUBANK,ok:FV=10.0:yrs=9:current_mcap=73093.0:current_pe=215.0
AWL,ok:FV=1.0:yrs=5:current_mcap=24798.0:current_pe=23.4
AADHARHFC,ok:FV=10.0:yrs=2:current_mcap=20286.0:current_pe=18.3
AARTIIND,ok:FV=5.0:yrs=12:current_mcap=17036.0:current_pe=41.4
AAVAS,ok:FV=10.0:yrs=8:current_mcap=10346.0:current_pe=21.1
ABBOTINDIA,ok:FV=None:yrs=12:current_mcap=None:current_pe=None
ACE,ok:FV=2.0:yrs=12:current_mcap=10468.0:current_pe=25.2
ACUTAAS,ok:FV=5.0:yrs=5:current_mcap=24894.0:current_pe=69.9
ADANIENSOL,ok:FV=10.0:yrs=11:current_mcap=183831.0:current_pe=80.5
ADANIENT,ok:FV=1.0:yrs=12:current_mcap=386188.0:current_pe=122.0
ADANIGREEN,ok:FV=10.0:yrs=8:current_mcap=238742.0:current_pe=132.0
ADANIPORTS,ok:FV=2.0:yrs=12:current_mcap=418112.0:current_pe=32.2
ADANIPOWER,ok:FV=2.0:yrs=12:current_mcap=455082.0:current_pe=35.5
ATGL,ok:FV=1.0:yrs=8:current_mcap=81177.0:current_pe=124.0
ABSLAMC,ok:FV=5.0:yrs=5:current_mcap=29733.0:current_pe=30.4
ABCAPITAL,ok:FV=10.0:yrs=9:current_mcap=92148.0:current_pe=24.2
ABFRL,ok:FV=10.0:yrs=12:current_mcap=7548.0:current_pe=None
CPPLUS,ok:FV=1.0:yrs=1:current_mcap=37810.0:current_pe=103.0
AEGISLOG,ok:FV=1.0:yrs=12:current_mcap=26918.0:current_pe=30.0
AEGISVOPAK,ok:FV=10.0:yrs=1:current_mcap=21660.0:current_pe=69.8
AFCONS,ok:FV=10.0:yrs=2:current_mcap=12007.0:current_pe=41.6
AFFLE,ok:FV=2.0:yrs=7:current_mcap=21089.0:current_pe=46.4
AJANTPHARM,ok:FV=2.0:yrs=12:current_mcap=36335.0:current_pe=34.4
ALKEM,ok:FV=2.0:yrs=11:current_mcap=62611.0:current_pe=25.7
ABDL,ok:FV=2.0:yrs=2:current_mcap=15311.0:current_pe=66.6
ARE&M,ok:FV=1.0:yrs=12:current_mcap=15866.0:current_pe=22.4
AMBER,ok:FV=10.0:yrs=9:current_mcap=26769.0:current_pe=135.0
AMBUJACEM,ok:FV=2.0:yrs=12:current_mcap=109120.0:current_pe=21.9
ANANDRATHI,ok:FV=5.0:yrs=5:current_mcap=29378.0:current_pe=74.3
ANANTRAJ,ok:FV=2.0:yrs=12:current_mcap=19867.0:current_pe=35.8
ANGELONE,ok:FV=1.0:yrs=6:current_mcap=31254.0:current_pe=34.2
ANTHEM,ok:FV=2.0:yrs=1:current_mcap=42482.0:current_pe=69.8
ANURAS,ok:FV=10.0:yrs=6:current_mcap=15104.0:current_pe=88.8
APARINDS,ok:FV=10.0:yrs=12:current_mcap=53388.0:current_pe=53.3
APOLLOHOSP,ok:FV=5.0:yrs=12:current_mcap=116445.0:current_pe=59.5
APOLLOTYRE,ok:FV=1.0:yrs=12:current_mcap=24864.0:current_pe=12.0
APTUS,ok:FV=2.0:yrs=5:current_mcap=13039.0:current_pe=13.8
ASAHIINDIA,ok:FV=1.0:yrs=12:current_mcap=22927.0:current_pe=64.8
ASHOKLEY,ok:FV=1.0:yrs=12:current_mcap=87538.0:current_pe=23.5
ASIANPAINT,ok:FV=1.0:yrs=12:current_mcap=255316.0:current_pe=57.5
ASTERDM,ok:FV=10.0:yrs=9:current_mcap=37654.0:current_pe=92.2
ASTRAL,ok:FV=1.0:yrs=12:current_mcap=41023.0:current_pe=74.4
ATHERENERG,ok:FV=None:yrs=1:current_mcap=None:current_pe=None
ATUL,ok:FV=10.0:yrs=12:current_mcap=19567.0:current_pe=28.9
AUROPHARMA,ok:FV=1.0:yrs=12:current_mcap=83084.0:current_pe=23.4
AIIL,ok:FV=1.0:yrs=2:current_mcap=38496.0:current_pe=19.9
DMART,ok:FV=10.0:yrs=10:current_mcap=264658.0:current_pe=89.1
AXISBANK,ok:FV=2.0:yrs=12:current_mcap=389210.0:current_pe=14.8
BEML,ok:FV=5.0:yrs=12:current_mcap=14360.0:current_pe=102.0
BLS,ok:FV=1.0:yrs=10:current_mcap=11084.0:current_pe=16.1
BSE,ok:FV=2.0:yrs=10:current_mcap=160146.0:current_pe=64.4
BAJAJ-AUTO,ok:FV=10.0:yrs=12:current_mcap=287432.0:current_pe=26.7
BAJFINANCE,ok:FV=1.0:yrs=12:current_mcap=549191.0:current_pe=28.6
BAJAJFINSV,ok:FV=1.0:yrs=12:current_mcap=278728.0:current_pe=28.0
BAJAJHLDNG,ok:FV=10.0:yrs=12:current_mcap=113904.0:current_pe=13.9
BAJAJHFL,ok:FV=None:yrs=2:current_mcap=None:current_pe=None
BALKRISIND,ok:FV=2.0:yrs=12:current_mcap=41635.0:current_pe=33.5
BALRAMCHIN,ok:FV=1.0:yrs=12:current_mcap=10857.0:current_pe=28.7
BANDHANBNK,ok:FV=None:yrs=9:current_mcap=None:current_pe=None
