metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Live
Stock Price (Rs),,,,,,,,362.35,262.85,591.35,853.3,771.1,981.0
EPS in Rs,,,,90.83,25.86,14.56,36.1,67.61,33.43,37.07,32.53,38.34,
Equity Capital (Rs Cr),,,,47.0,234.0,234.0,234.0,255.0,255.0,278.0,278.0,278.0,
Face Value (Rs),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
Shares Outstanding,,,,47000000.0,234000000.0,234000000.0,234000000.0,255000000.0,255000000.0,278000000.0,278000000.0,278000000.0,
Market Cap (Rs Cr),,,,,,,,9239.92,6702.68,16439.53,23721.74,21436.58,27395.0
P/E ratio,,,,,,,,5.36,7.86,15.95,26.23,20.11,25.6
