metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Live
Stock Price (Rs),66.92,54.66,63.24,117.34,125.68,61.58,190.95,277.27,418.15,722.35,345.7,209.6,322.0
EPS in Rs,4.77,5.66,5.57,6.87,8.89,9.88,8.7,13.42,16.12,11.0,15.14,16.56,
Equity Capital (Rs Cr),11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,14.0,28.0,28.0,28.0,
Face Value (Rs),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
Shares Outstanding,110000000.0,110000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,140000000.0,280000000.0,280000000.0,280000000.0,
Market Cap (Rs Cr),736.12,601.26,632.4,1173.4,1256.8,615.8,1909.5,2772.7,5854.1,20225.8,9679.6,5868.8,9042.0
P/E ratio,14.03,9.66,11.35,17.08,14.14,6.23,21.95,20.66,25.94,65.67,22.83,12.66,17.7
