metric,Mar 2011,Mar 2012,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Live
Stock Price (Rs),,,,,,,,,583.0,994.6,641.95,813.0,1055.25,937.35,931.0
EPS in Rs,11.12,11.73,,,25.29,31.68,27.83,21.41,38.97,42.09,34.44,60.17,57.16,31.44,
Equity Capital (Rs Cr),125.0,125.0,,,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,128.0,129.0,
Face Value (Rs),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
Shares Outstanding,125000000.0,125000000.0,,,127000000.0,127000000.0,127000000.0,127000000.0,127000000.0,127000000.0,127000000.0,127000000.0,128000000.0,129000000.0,
Market Cap (Rs Cr),,,,,,,,,7404.1,12631.42,8152.77,10325.1,13507.2,12091.82,11960.0
P/E ratio,,,,,,,,,14.96,23.63,18.64,13.51,18.46,29.81,25.5
