metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Live
Stock Price (Rs),20.15,24.1,71.25,113.25,94.5,62.75,114.95,96.45,90.15,252.7,249.22,239.05,277.0
EPS in Rs,,,4.76,3.03,1.03,1.58,0.1,1.27,-3.79,-5.92,-2.24,3.04,
Equity Capital (Rs Cr),,,560.0,760.0,897.0,925.0,934.0,934.0,950.0,961.0,961.0,963.0,
Face Value (Rs),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
Shares Outstanding,,,560000000.0,760000000.0,897000000.0,925000000.0,934000000.0,934000000.0,950000000.0,961000000.0,961000000.0,963000000.0,
Market Cap (Rs Cr),,,3990.0,8607.0,8476.65,5804.38,10736.33,9008.43,8564.25,24284.47,23950.04,23020.51,26651.0
P/E ratio,,,14.97,37.38,91.75,39.72,1149.5,75.94,-23.79,-42.69,-111.26,78.63,
