metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Live
Stock Price (Rs),,,895.4,958.05,1039.8,818.45,1168.95,779.05,983.45,1364.05,1386.95,927.7,1078.0
EPS in Rs,,,,,,,,,79.98,130.06,105.34,85.15,
Equity Capital (Rs Cr),,,,,,,,,99.0,99.0,99.0,99.0,
Face Value (Rs),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
Shares Outstanding,,,,,,,,,99000000.0,99000000.0,99000000.0,99000000.0,
Market Cap (Rs Cr),,,,,,,,,9736.16,13504.09,13730.81,9184.23,10643.0
P/E ratio,,,,,,,,,12.3,10.49,13.17,10.89,12.6
