metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Live
Stock Price (Rs),3697.35,3716.3,6015.7,8861.1,6596.25,4288.3,6859.2,7561.3,8292.15,12600.35,11522.15,12306.0,14234.0
EPS in Rs,126.04,181.98,248.61,260.86,253.21,187.9,145.3,128.43,271.82,429.01,461.2,466.9,
Equity Capital (Rs Cr),151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,157.0,157.0,157.0,
Face Value (Rs),5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,
Shares Outstanding,302000000.0,302000000.0,302000000.0,302000000.0,302000000.0,302000000.0,302000000.0,302000000.0,302000000.0,314000000.0,314000000.0,314000000.0,
Market Cap (Rs Cr),111659.97,112232.26,181674.14,267605.22,199206.75,129506.66,207147.84,228351.26,250422.93,395650.99,361795.51,386408.4,447521.0
P/E ratio,29.33,20.42,24.2,33.97,26.05,22.82,47.21,58.87,30.51,29.37,24.98,26.36,31.2
