metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Stock Price (Rs),,,,,,,,126.8,84.1,101.1,363.75,302.55,246.1
EPS in Rs,4.3,3.77,3.2,4.06,4.92,4.22,4.4,4.44,6.51,5.89,,,
Equity Capital (Rs Cr),,,321.0,321.0,321.0,321.0,321.0,321.0,321.0,321.0,,,
Face Value (Rs),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Shares Outstanding,,,321000000.0,321000000.0,321000000.0,321000000.0,321000000.0,321000000.0,321000000.0,321000000.0,,,
Market Cap (Rs Cr),,,,,,,,4070.28,2699.61,3245.31,,,
P/E ratio,,,,,,,,28.56,12.92,17.16,,,
