metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Live
Stock Price (Rs),,,,,309.02,294.17,252.68,613.92,623.12,579.2,565.0,534.6,842.7,1047.0
EPS in Rs,11.65,18.49,27.95,13.4,,,,,,,,,,
Equity Capital (Rs Cr),43.0,44.0,44.0,284.0,,,,,,,,,,
Face Value (Rs),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
Shares Outstanding,43000000.0,44000000.0,44000000.0,284000000.0,,,,,,,,,,
Market Cap (Rs Cr),,,,,,,,,,,,,,78504.0
P/E ratio,,,,,,,,,,,,,,231.0
