metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Live
Stock Price (Rs),,,,,,,,,,,197.51,137.87,162.0
EPS in Rs,,,,,,,,,,3.05,3.92,,
Equity Capital (Rs Cr),,,,,,,,,,83.0,208.0,208.0,
Face Value (Rs),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
Shares Outstanding,,,,,,,,,,830000000.0,2080000000.0,2080000000.0,
Market Cap (Rs Cr),,,,,,,,,,,41082.08,28676.96,33821.0
P/E ratio,,,,,,,,,,,50.39,,36.7
