metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Live
Stock Price (Rs),105.1,84.2,131.95,162.95,90.15,40.6,109.0,117.35,155.0,432.05,277.45,380.9,386.0
EPS in Rs,14.53,20.6,16.55,2.91,7.16,6.12,12.97,8.53,10.66,30.16,18.07,26.92,
Equity Capital (Rs Cr),45.0,45.0,45.0,45.0,49.0,49.0,49.0,49.0,49.0,52.0,55.0,58.0,
Face Value (Rs),2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,
Shares Outstanding,225000000.0,225000000.0,225000000.0,225000000.0,245000000.0,245000000.0,245000000.0,245000000.0,245000000.0,260000000.0,275000000.0,290000000.0,
Market Cap (Rs Cr),2364.75,1894.5,2968.87,3666.38,2208.68,994.7,2670.5,2875.07,3797.5,11233.3,7629.88,11046.1,11116.0
P/E ratio,7.23,4.09,7.97,56.0,12.59,6.63,8.4,13.76,14.54,14.33,15.35,14.15,12.6
