metric,Mar 2009,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Live
Stock Price (Rs),,1400.8,1363.95,1912.1,1789.55,1786.65,2213.05,2296.05,1908.55,2300.55,2384.7,3598.0,2844.7,2939.0
EPS in Rs,77.22,,45.91,52.94,85.75,46.33,52.13,45.59,63.7,73.58,93.68,94.31,433.42,
Equity Capital (Rs Cr),38.0,,47.0,47.0,47.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,
Face Value (Rs),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
Shares Outstanding,38000000.0,,47000000.0,47000000.0,47000000.0,46000000.0,46000000.0,46000000.0,46000000.0,46000000.0,46000000.0,46000000.0,46000000.0,
Market Cap (Rs Cr),,,6410.56,8986.87,8410.89,8218.59,10180.03,10561.83,8779.33,10582.53,10969.62,16550.8,13085.62,13383.0
P/E ratio,,,29.71,36.12,20.87,38.56,42.45,50.36,29.96,31.27,25.46,38.15,6.56,37.1
