rank,nse_symbol,company_name,industry,market_cap_rs_cr,current_price_rs,stock_pe,as_of,series,isin
47,ADANIENSOL,Adani Energy Sol,,179754.0,1496.0,80.2,Live (2026-06-04),EQ,
48,SBILIFE,SBI Life Insurance Company Ltd.,FINANCIAL SERVICES,178126.0,1776.0,72.1,Live (2026-06-04),EQ,INE123W01016
49,DIVISLAB,Divi's Laboratories Ltd.,PHARMA,176696.0,6656.0,67.4,Live (2026-06-04),EQ,INE361B01024
50,INDIGO,InterGlobe Aviation Ltd.,SERVICES,174219.0,4506.0,,Live (2026-06-04),EQ,INE646L01027
51,SOLARINDS,Solar Industries India Ltd.,CHEMICALS,168854.0,18660.0,101.0,Live (2026-06-04),EQ,INE343H01029
52,ICICIAMC,ICICI AMC,,164840.0,3335.0,56.0,Live (2026-06-04),EQ,
53,IDEA,Vodafone Idea Ltd.,TELECOM,163056.0,15.0,,Live (2026-06-04),EQ,INE669E01016
54,BSE,BSE Ltd.,FINANCIAL SERVICES,162802.0,3997.0,65.5,Live (2026-06-04),EQ,INE118H01025
55,POWERINDIA,Hitachi Energy,,162727.0,36509.0,158.0,Live (2026-06-04),EQ,
56,CUMMINSIND,Cummins India Ltd.,INDUSTRIAL MANUFACTURING,160804.0,5801.0,66.3,Live (2026-06-04),EQ,INE298A01020
57,TVSMOTOR,TVS Motor Company Ltd.,AUTOMOBILE,159549.0,3358.0,52.3,Live (2026-06-04),EQ,INE494B01023
58,JIOFIN,Jio Financial,,155933.0,236.0,101.0,Live (2026-06-04),EQ,
59,MOTHERSON,Samvardh. Mothe.,,155414.0,147.0,37.6,Live (2026-06-04),EQ,
60,HYUNDAI,Hyundai Motor I,,155248.0,1911.0,28.6,Live (2026-06-04),EQ,
61,ABB,ABB India Ltd.,INDUSTRIAL MANUFACTURING,154693.0,7300.0,102.0,Live (2026-06-04),EQ,INE117A01022
62,PIDILITIND,Pidilite Industries Ltd.,CHEMICALS,150168.0,1475.0,61.0,Live (2026-06-04),EQ,INE318A01026
63,TRENT,Trent Ltd.,CONSUMER GOODS,150105.0,2815.0,87.0,Live (2026-06-04),EQ,INE849A01020
64,TORNTPHARM,Torrent Pharmaceuticals Ltd.,PHARMA,149593.0,4420.0,68.2,Live (2026-06-04),EQ,INE685A01028
65,POLYCAB,Polycab India,,146483.0,9729.0,54.8,Live (2026-06-04),EQ,
66,CGPOWER,CG Power and Industrial Solutions Ltd.,INDUSTRIAL MANUFACTURING,146471.0,930.0,119.0,Live (2026-06-04),EQ,INE067A01029
67,TMPV,Tata Motors PVeh,,146358.0,397.0,23.0,Live (2026-06-04),EQ,
68,TECHM,Tech Mahindra Ltd.,IT,146013.0,1490.0,29.2,Live (2026-06-04),EQ,INE669C01036
69,DLF,DLF Ltd.,CONSTRUCTION,142727.0,577.0,33.7,Live (2026-06-04),EQ,INE271C01023
70,TMCV,Tata Motors,,141770.0,385.0,25.6,Live (2026-06-04),EQ,
71,BHEL,Bharat Heavy Electricals Ltd.,INDUSTRIAL MANUFACTURING,141354.0,406.0,88.3,Live (2026-06-04),EQ,INE257A01026
72,BANKBARODA,Bank of Baroda,FINANCIAL SERVICES,140558.0,272.0,7.09,Live (2026-06-04),EQ,INE028A01039
73,PFC,Power Finance Corporation Ltd.,FINANCIAL SERVICES,139314.0,422.0,5.39,Live (2026-06-04),EQ,INE134E01011
74,ENRIN,Siemens Ener.Ind,,134542.0,3778.0,99.8,Live (2026-06-04),EQ,
75,SIEMENS,Siemens Ltd.,INDUSTRIAL MANUFACTURING,133267.0,3742.0,56.1,Live (2026-06-04),EQ,INE003A01024
76,TATAPOWER,Tata Power Co. Ltd.,ENERGY,132447.0,414.0,34.9,Live (2026-06-04),EQ,INE245A01021
77,GVT&D,GE Vernova T&D,,130893.0,5112.0,701.0,Live (2026-06-04),EQ,
78,TATACAP,Tata Capital,,130402.0,307.0,26.7,Live (2026-06-04),EQ,
79,MUTHOOTFIN,Muthoot Finance Ltd.,FINANCIAL SERVICES,129032.0,3214.0,12.2,Live (2026-06-04),EQ,INE414G01012
80,VEDL,Vedanta Ltd.,METALS,128730.0,329.0,14.9,Live (2026-06-04),EQ,INE205A01025
81,UNIONBANK,Union Bank of India,FINANCIAL SERVICES,126985.0,166.0,6.51,Live (2026-06-04),EQ,INE692A01016
82,BPCL,Bharat Petroleum Corporation Ltd.,ENERGY,126836.0,292.0,4.81,Live (2026-06-04),EQ,INE029A01011
83,IRFC,I R F C,,125967.0,96.4,18.0,Live (2026-06-04),EQ,
84,CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,FINANCIAL SERVICES,125036.0,1467.0,23.9,Live (2026-06-04),EQ,INE121A01016
85,HDFCLIFE,HDFC Life Insurance Company Ltd.,FINANCIAL SERVICES,123910.0,574.0,64.8,Live (2026-06-04),EQ,INE795G01014
86,JINDALSTEL,Jindal Steel & Power Ltd.,METALS,123125.0,1207.0,30.5,Live (2026-06-04),EQ,INE749A01030
87,BRITANNIA,Britannia Industries Ltd.,CONSUMER GOODS,122946.0,5104.0,48.5,Live (2026-06-04),EQ,INE216A01030
88,PNB,Punjab National Bank,FINANCIAL SERVICES,121423.0,106.0,6.58,Live (2026-06-04),EQ,INE160A01022
89,LTM,LTM,,119783.0,4038.0,22.2,Live (2026-06-04),EQ,
90,CANBK,Canara Bank,FINANCIAL SERVICES,119733.0,132.0,6.67,Live (2026-06-04),EQ,INE476A01014
91,GROWW,Billionbrains,,119418.0,190.0,57.3,Live (2026-06-04),EQ,
92,APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,HEALTHCARE SERVICES,118967.0,8274.0,60.8,Live (2026-06-04),EQ,INE437A01024
93,INDIANB,Indian Bank,FINANCIAL SERVICES,114243.0,848.0,9.74,Live (2026-06-04),EQ,INE562A01011
94,TATACONSUM,Tata Consumer,,114221.0,1154.0,74.4,Live (2026-06-04),EQ,
95,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,FINANCIAL SERVICES,113782.0,10224.0,13.9,Live (2026-06-04),EQ,INE118A01012
96,INDUSTOWER,Indus Towers,,113309.0,430.0,15.9,Live (2026-06-04),EQ,
97,BOSCHLTD,Bosch Ltd.,AUTOMOBILE,111881.0,37934.0,47.6,Live (2026-06-04),EQ,INE323A01026
98,CIPLA,Cipla Ltd.,PHARMA,110846.0,1372.0,27.2,Live (2026-06-04),EQ,INE059A01026
99,ZYDUSLIFE,Zydus Lifesci.,,109277.0,1086.0,20.1,Live (2026-06-04),EQ,
100,HDFCAMC,HDFC Asset Management Company Ltd.,FINANCIAL SERVICES,108846.0,2539.0,38.1,Live (2026-06-04),EQ,INE127D01025
101,GAIL,GAIL (India) Ltd.,ENERGY,107996.0,164.0,14.2,Live (2026-06-04),EQ,INE129A01019
102,JSWENERGY,JSW Energy Ltd.,ENERGY,107240.0,585.0,47.0,Live (2026-06-04),EQ,INE121E01018
103,MARICO,Marico Ltd.,CONSUMER GOODS,106897.0,823.0,60.7,Live (2026-06-04),EQ,INE196A01026
104,AMBUJACEM,Ambuja Cements Ltd.,CEMENT & CEMENT PRODUCTS,106338.0,428.0,21.3,Live (2026-06-04),EQ,INE079A01024
105,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMA,105701.0,1266.0,25.2,Live (2026-06-04),EQ,INE089A01023
106,GMRAIRPORT,GMR Airports,,105167.0,99.6,506.0,Live (2026-06-04),EQ,
107,LGEINDIA,LG Electronics,,103913.0,1531.0,61.6,Live (2026-06-04),EQ,
108,LUPIN,Lupin Ltd.,PHARMA,103745.0,2269.0,18.0,Live (2026-06-04),EQ,INE326A01037
109,GODREJCP,Godrej Consumer Products Ltd.,CONSUMER GOODS,101618.0,993.0,50.1,Live (2026-06-04),EQ,INE102D01028
110,LLOYDSME,Lloyds Metals,,100733.0,1790.0,31.6,Live (2026-06-04),EQ,
111,MAZDOCK,Mazagon Dock,,99615.0,2470.0,38.6,Live (2026-06-04),EQ,
112,HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILE,99166.0,4956.0,17.0,Live (2026-06-04),EQ,INE158A01026
113,MANKIND,Mankind Pharma,,97884.0,2371.0,48.7,Live (2026-06-04),EQ,
114,BHARATFORG,Bharat Forge Ltd.,INDUSTRIAL MANUFACTURING,94327.0,1973.0,80.0,Live (2026-06-04),EQ,INE465A01025
