metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Live
Stock Price (Rs),144.95,151.3,217.5,332.0,260.35,156.15,309.75,431.0,452.15,536.35,602.05,784.4,896.0
EPS in Rs,1.73,3.58,6.15,7.3,7.82,6.32,5.47,14.18,15.01,13.49,15.27,13.52,
Equity Capital (Rs Cr),24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,25.0,
Face Value (Rs),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
Shares Outstanding,240000000.0,240000000.0,240000000.0,240000000.0,240000000.0,240000000.0,240000000.0,240000000.0,240000000.0,240000000.0,240000000.0,250000000.0,
Market Cap (Rs Cr),3478.8,3631.2,5220.0,7968.0,6248.4,3747.6,7434.0,10344.0,10851.6,12872.4,14449.2,19610.0,22836.0
P/E ratio,83.79,42.26,35.37,45.48,33.29,24.71,56.63,30.39,30.12,39.76,39.43,58.02,64.6
