metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Live
Stock Price (Rs),,,,,,,,,,,,156.18,139.0
EPS in Rs,,,,,,-3.95,-4.34,-1.67,-18.99,-4.07,-1.73,0.98,
Equity Capital (Rs Cr),,,,,,12.0,13.0,14.0,0.02,0.1,0.1,115.0,
Face Value (Rs),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
Shares Outstanding,,,,,,120000000.0,130000000.0,140000000.0,200000.0,1000000.0,1000000.0,1150000000.0,
Market Cap (Rs Cr),,,,,,,,,,,,17960.7,16035.0
P/E ratio,,,,,,,,,,,,159.37,124.0
