metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Live
Stock Price (Rs),,,,,,,,,,,1528.95,1328.4,1849.0
EPS in Rs,,,,,,166.73,200.1,13.61,17.86,21.68,28.33,42.03,
Equity Capital (Rs Cr),,,,,,8.0,8.0,17.0,17.0,17.0,17.0,,
Face Value (Rs),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
Shares Outstanding,,,,,,80000000.0,80000000.0,170000000.0,170000000.0,170000000.0,170000000.0,,
Market Cap (Rs Cr),,,,,,,,,,,25992.15,,31739.0
P/E ratio,,,,,,,,,,,53.97,31.61,44.0
