metric,Mar 2007,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Live
Stock Price (Rs),,89.55,95.35,137.8,332.25,401.2,268.2,560.05,887.95,1194.6,1727.75,2428.95,2629.3,4341.0
EPS in Rs,0.94,,5.87,6.03,9.3,14.55,17.16,20.75,19.69,16.48,19.61,25.83,45.14,
Equity Capital (Rs Cr),19.0,,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,
Face Value (Rs),2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,
Shares Outstanding,95000000.0,,135000000.0,135000000.0,135000000.0,135000000.0,135000000.0,135000000.0,135000000.0,135000000.0,135000000.0,135000000.0,135000000.0,
Market Cap (Rs Cr),,,1287.22,1860.3,4485.38,5416.2,3620.7,7560.68,11987.33,16127.1,23324.62,32790.82,35495.55,58159.0
P/E ratio,,,16.24,22.85,35.73,27.57,15.63,26.99,45.1,72.49,88.11,94.04,58.25,81.8
