metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Stock Price (Rs),370.45,460.95,749.55,728.0,671.55,288.2,475.3,649.25,2504.9,6978.9,5539.95,9881.0
EPS in Rs,12.86,31.61,46.14,37.82,35.55,35.32,41.94,67.09,166.64,205.41,204.46,243.21
Equity Capital (Rs Cr),38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,40.0,40.0,40.0
Face Value (Rs),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Shares Outstanding,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,40000000.0,40000000.0,40000000.0
Market Cap (Rs Cr),1407.71,1751.61,2848.29,2766.4,2551.89,1095.16,1806.14,2467.15,9518.62,27915.6,22159.8,39524.0
P/E ratio,28.81,14.58,16.25,19.25,18.89,8.16,11.33,9.68,15.03,33.98,27.1,40.63
