metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Live
Stock Price (Rs),69.55,71.15,107.35,83.75,69.75,43.9,50.4,62.55,77.15,228.1,244.67,268.6,298.0
EPS in Rs,9.42,0.51,16.01,12.71,10.87,10.39,9.24,7.88,10.07,13.37,18.9,25.4,
Equity Capital (Rs Cr),1678.0,1678.0,1529.0,1529.0,1387.0,1387.0,1387.0,1387.0,1387.0,1387.0,1387.0,1387.0,
Face Value (Rs),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
Shares Outstanding,1678000000.0,1678000000.0,1529000000.0,1529000000.0,1387000000.0,1387000000.0,1387000000.0,1387000000.0,1387000000.0,1387000000.0,1387000000.0,1387000000.0,
Market Cap (Rs Cr),11670.49,11938.97,16413.81,12805.38,9674.33,6088.93,6990.48,8675.68,10700.71,31637.47,33935.73,37254.82,41308.0
P/E ratio,7.38,139.51,6.71,6.59,6.42,4.23,5.45,7.94,7.66,17.06,12.95,10.57,11.7
