metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Live
Stock Price (Rs),,,,,,,,340.55,242.9,309.15,294.75,194.57,261.0
EPS in Rs,,,4.73,8.49,14.18,22.74,28.77,7.45,10.1,12.26,15.03,18.83,
Equity Capital (Rs Cr),,,79.0,79.0,79.0,95.0,95.0,99.0,100.0,100.0,100.0,100.0,
Face Value (Rs),2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,
Shares Outstanding,,,395000000.0,395000000.0,395000000.0,475000000.0,475000000.0,495000000.0,500000000.0,500000000.0,500000000.0,500000000.0,
Market Cap (Rs Cr),,,,,,,,16857.22,12145.0,15457.5,14737.5,9728.5,13081.0
P/E ratio,,,,,,,,45.71,24.05,25.22,19.61,10.33,13.3
