metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Live
Stock Price (Rs),34.75,34.75,41.7,53.0,47.8,27.45,113.9,125.05,105.5,197.65,340.25,204.39,264.0
EPS in Rs,3.52,3.87,4.11,4.76,5.47,4.9,5.2,7.69,7.33,7.31,8.41,9.54,
Equity Capital (Rs Cr),666.0,673.0,681.0,687.0,691.0,694.0,696.0,697.0,697.0,697.0,697.0,697.0,
Face Value (Rs),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
Shares Outstanding,666000000.0,673000000.0,681000000.0,687000000.0,691000000.0,694000000.0,696000000.0,697000000.0,697000000.0,697000000.0,697000000.0,697000000.0,
Market Cap (Rs Cr),2314.35,2338.68,2839.77,3641.1,3302.98,1905.03,7927.44,8715.99,7353.35,13776.2,23715.42,14245.98,18655.0
P/E ratio,9.87,8.98,10.15,11.13,8.74,5.6,21.9,16.26,14.39,27.04,40.46,21.42,24.8
