metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Live
Stock Price (Rs),33.35,24.7,29.65,19.55,13.7,4.05,12.0,11.1,9.8,39.65,43.07,47.88,76.5
EPS in Rs,3.23,2.18,-2.27,2.26,-2.88,-1.36,-10.24,-8.71,-0.95,0.47,0.63,0.67,
Equity Capital (Rs Cr),1662.0,1662.0,1662.0,1696.0,1696.0,1696.0,1896.0,2103.0,2196.0,2490.0,2694.0,2694.0,
Face Value (Rs),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
Shares Outstanding,1662000000.0,1662000000.0,1662000000.0,1696000000.0,1696000000.0,1696000000.0,1896000000.0,2103000000.0,2196000000.0,2490000000.0,2694000000.0,2694000000.0,
Market Cap (Rs Cr),5542.77,4105.14,4927.83,3315.68,2323.52,686.88,2275.2,2334.33,2152.08,9872.85,11603.06,12898.87,20622.0
P/E ratio,10.33,11.33,-13.06,8.65,-4.76,-2.98,-1.17,-1.27,-10.32,84.36,68.37,71.46,112.0
