metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Live
Stock Price (Rs),195.85,97.05,139.25,103.55,105.85,32.25,67.85,45.85,74.65,137.05,107.12,136.99,140.0
EPS in Rs,30.27,-75.98,-13.94,-34.2,-19.67,-9.31,6.36,8.51,9.35,14.42,20.97,22.64,
Equity Capital (Rs Cr),666.0,817.0,1055.0,1744.0,2760.0,3278.0,3278.0,4104.0,4104.0,4553.0,4553.0,4553.0,
Face Value (Rs),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
Shares Outstanding,666000000.0,817000000.0,1055000000.0,1744000000.0,2760000000.0,3278000000.0,3278000000.0,4104000000.0,4104000000.0,4553000000.0,4553000000.0,4553000000.0,
Market Cap (Rs Cr),13043.61,7928.98,14690.88,18059.12,29214.6,10571.55,22241.23,18816.84,30636.36,62398.86,48771.74,62371.55,63828.0
P/E ratio,6.47,-1.28,-9.99,-3.03,-5.38,-3.46,10.67,5.39,7.98,9.5,5.11,6.05,6.06
