metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Live
Stock Price (Rs),47.51,83.21,131.99,126.51,114.42,67.63,213.29,622.55,578.1,832.45,906.5,829.45,1083.0
EPS in Rs,4.61,5.59,7.76,7.86,9.23,10.95,14.97,24.47,23.82,23.56,23.85,25.35,
Equity Capital (Rs Cr),38.0,38.0,37.0,37.0,36.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,
Face Value (Rs),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
Shares Outstanding,380000000.0,380000000.0,370000000.0,370000000.0,360000000.0,340000000.0,340000000.0,340000000.0,340000000.0,340000000.0,340000000.0,340000000.0,
Market Cap (Rs Cr),1805.38,3161.98,4883.63,4680.87,4119.12,2299.42,7251.86,21166.7,19655.4,28303.3,30821.0,28201.3,37018.0
P/E ratio,10.31,14.89,17.01,16.1,12.4,6.18,14.25,25.44,24.27,35.33,38.01,32.72,42.7
