metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Live
Stock Price (Rs),53.85,98.7,82.6,134.9,131.7,62.05,138.35,167.4,200.5,515.4,869.8,812.7,1651.0
EPS in Rs,2.62,5.72,1.0,5.97,-0.5,24.36,29.42,16.82,7.9,42.44,72.73,61.15,
Equity Capital (Rs Cr),132.0,133.0,133.0,133.0,133.0,130.0,130.0,130.0,131.0,131.0,131.0,132.0,
Face Value (Rs),5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,
Shares Outstanding,264000000.0,266000000.0,266000000.0,266000000.0,266000000.0,260000000.0,260000000.0,260000000.0,262000000.0,262000000.0,262000000.0,264000000.0,
Market Cap (Rs Cr),1421.64,2625.42,2197.16,3588.34,3503.22,1613.3,3597.1,4352.4,5253.1,13503.48,22788.76,21455.28,43541.0
P/E ratio,20.55,17.26,82.6,22.6,-263.4,2.55,4.7,9.95,25.38,12.14,11.96,13.29,18.9
