metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Live
Stock Price (Rs),,,,,,,,,,,,1834.5,2056.0
EPS in Rs,22.05,25.68,89.62,40.28,-30.78,-428.77,-479.61,0.25,-3.46,-0.85,0.19,66.44,
Equity Capital (Rs Cr),146.0,292.0,313.0,314.0,314.0,314.0,314.0,21365.0,21365.0,23365.0,45.0,45.0,
Face Value (Rs),2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,
Shares Outstanding,730000000.0,1460000000.0,1565000000.0,1570000000.0,1570000000.0,1570000000.0,1570000000.0,106825000000.0,106825000000.0,116825000000.0,225000000.0,225000000.0,
Market Cap (Rs Cr),,,,,,,,,,,,41276.25,46594.0
P/E ratio,,,,,,,,,,,,27.61,104.0
