metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Live
Stock Price (Rs),286.82,215.14,251.68,278.35,400.55,323.75,582.1,730.3,877.25,1093.3,1348.35,1205.9,1247.0
EPS in Rs,19.2,15.92,15.9,12.0,6.6,14.78,26.58,36.14,48.74,63.02,71.65,75.71,
Equity Capital (Rs Cr),1160.0,1163.0,1165.0,1286.0,1289.0,1295.0,1383.0,1390.0,1397.0,1405.0,1425.0,1432.0,
Face Value (Rs),2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,
Shares Outstanding,5800000000.0,5815000000.0,5825000000.0,6430000000.0,6445000000.0,6475000000.0,6915000000.0,6950000000.0,6985000000.0,7025000000.0,7125000000.0,7160000000.0,
Market Cap (Rs Cr),166355.6,125103.91,146603.6,178979.05,258154.48,209628.12,402522.15,507558.5,612759.12,768043.25,960699.38,863424.4,894032.0
P/E ratio,14.94,13.51,15.83,23.2,60.69,21.9,21.9,20.21,18.0,17.35,18.82,15.93,16.5
