year,nifty50,nifty_midcap,nifty_smallcap
2003,,,2432.739990234375
2004,,,3431.830078125
2005,,4030.449951171875,5943.10986328125
2006,,5199.75,6892.31982421875
2007,6138.60009765625,9199.849609375,13348.3701171875
2008,2959.14990234375,3735.60009765625,3683.110107421875
2009,5201.0498046875,7432.7998046875,8357.6201171875
2010,6134.5,8857.2001953125,9670.3095703125
2011,4624.2998046875,6111.85009765625,5550.14013671875
2012,5905.10009765625,8505.099609375,7379.93994140625
2013,6304.0,8071.2998046875,6551.1298828125
2014,8282.7001953125,12583.849609375,11087.0703125
2015,7946.35009765625,13396.7001953125,11836.7099609375
2016,8185.7998046875,14351.4501953125,12046.1298828125
2017,10530.7001953125,21133.5,19230.720703125
2018,10862.5498046875,17875.5,14706.6904296875
2019,12168.4501953125,17102.5,13343.6796875
2020,13981.75,20842.5,18098.109375
2021,17354.05078125,30442.900390625,29457.759765625
2022,18105.30078125,31509.099609375,28926.7890625
2023,21731.400390625,46181.6484375,42673.76171875
2024,23644.80078125,57199.44921875,46908.16015625
2025,26129.599609375,60484.5,
2026,23889.25,61329.6015625,
