year,nifty50_median,midcap_median,smallcap_median
2001,11.084550857543944,7.0788893699646,6.0399839878082275
2002,15.097240447998047,9.745443344116211,6.256478309631348
2003,29.670827865600586,27.982362747192383,20.51858901977539
2004,41.24489974975586,36.0621337890625,22.37040138244629
2005,64.55274200439453,38.75053024291992,24.338972091674805
2006,87.90737915039062,61.07659149169922,23.88515853881836
2007,137.4338150024414,103.25317764282227,73.56735610961914
2008,57.935476303100586,36.31758499145508,21.351141929626465
2009,133.67798614501953,96.91361236572266,42.388160705566406
2010,159.9541015625,125.71383666992188,57.40206336975098
2011,111.2096176147461,73.3427619934082,38.10747528076172
2012,175.7777862548828,113.28444290161131,52.3758430480957
2013,189.69021606445312,115.21016693115234,43.58184242248535
2014,289.0150451660156,178.5962905883789,67.60406875610352
2015,252.85721588134766,189.79882812499997,84.08614349365234
2016,273.9003143310547,224.54397583007807,96.6107292175293
2017,397.0832214355469,308.6133728027344,151.45391845703125
2018,446.1312255859375,289.44677734375,120.0814208984375
2019,522.3421630859375,313.98680114746094,130.92483520507812
2020,680.2142333984375,386.0514678955078,175.9700698852539
2021,807.3429260253906,543.4189147949219,263.4505310058594
2022,913.8609313964844,536.7025451660156,305.7303771972656
2023,1145.48876953125,789.9192810058594,537.5149230957031
2024,1271.83642578125,1114.2401123046875,732.643310546875
2025,1406.3500366210938,1169.834716796875,546.3249816894531
2026,1281.9000244140625,1021.5,572.4499816894531
