rank,symbol,asof_month_traded_value
1,ICICIBANK,99937494649.7
2,AXISBANK,90777382792.45
3,INFY,90124803937.6
4,SBIN,86134924471.35
5,RELIANCE,84697779131.05
6,TCS,68291640901.2
7,LT,63886370746.25
8,YESBANK,59532020222.85
9,ITC,50067665274.2
10,HDFC,47006935647.15
11,HCLTECH,45628066229.95
12,TATASTEEL,44659409961.05
13,TATAMOTORS,41784549999.2
14,HDFCBANK,38735658487.75
15,JPASSOCIAT,36203186338.8
16,BHARTIARTL,34741763142.0
17,TECHM,33617792360.4
18,DLF,33436937750.35
19,SUNPHARMA,33433723571.9
20,AUROPHARMA,32104984097.35
21,BANKBARODA,30939992917.15
22,ONGC,30640041106.15
23,HINDALCO,28026246750.95
24,MCDOWELL-N,27479410481.8
25,IDFC,26920389190.55
26,MARUTI,26036124989.9
27,TATAELXSI,23846775567.65
28,DRREDDY,23616468186.95
29,M&M,23038499027.3
30,INDUSINDBK,21981491648.7
31,PNB,21476730233.85
32,RELINFRA,20485126285.25
33,WIPRO,20350703460.65
34,L&TFH,20044294354.15
35,SSLT,19389127836.35
36,BANKINDIA,19068224598.4
37,APOLLOTYRE,18569993336.05
38,RELCAPITAL,18490033397.7
39,ADANIENT,18095552382.0
40,LICHSGFIN,17962833637.85
41,NTPC,16411080726.5
42,COALINDIA,16123231858.65
43,BHEL,16114180302.5
44,HEROMOTOCO,15939171248.0
45,RANBAXY,15708533994.75
46,BPCL,15662120657.4
47,RCOM,15456755176.75
48,JSWSTEEL,14884097858.95
49,JUSTDIAL,14865828293.85
50,HINDUNILVR,14587639830.75
51,CANBK,14355421618.7
52,ZEEL,14311946422.8
53,IDEA,13717534982.8
54,KOTAKBANK,13472633597.95
55,POWERGRID,13096350409.55
56,ABAN,12775404572.6
57,PFC,12760870484.35
58,CROMPGREAV,12727075297.9
59,HDIL,12655437250.8
60,HINDPETRO,11579656381.2
61,CAIRN,11273985046.75
62,JINDALSTEL,11129103299.65
63,M&MFIN,10889570826.2
64,BAJAJ-AUTO,10803752374.8
65,CIPLA,10680398808.7
66,POLARIS,10478725475.85
67,SRTRANSFIN,10311468835.8
68,VOLTAS,10138659686.25
69,MCX,10084011149.5
70,GAIL,9995567352.55
71,UNIONBANK,9707425941.45
72,LUPIN,9464507006.45
73,ARVIND,9042183282.05
74,TATAPOWER,8869345431.05
75,FINANTECH,8767126099.6
76,UNITECH,8512756270.1
77,BHARATFORG,8507382632.2
78,KTKBANK,8388685521.95
79,ACC,8160155788.05
80,ASHOKLEY,8127822842.3
81,ULTRACEMCO,8018600229.9
82,ADANIPORTS,8010130369.5
83,ASIANPAINT,7936094986.0
84,LIQUIDBEES,7748425756.92
85,RECLTD,7537643627.45
86,WOCKPHARMA,7408683017.95
87,SIEMENS,7057284236.85
88,ORIENTBANK,7011679892.65
89,SAIL,6929061787.4
90,IBREALEST,6837236127.55
91,TITAN,6753524450.9
92,TATAGLOBAL,6555393029.15
93,CEATLTD,6530346366.15
94,AMBUJACEM,6494317522.65
95,ABB,6456333728.4
96,IRB,6339658612.55
97,TATASPONGE,6285993488.95
98,NMDC,6230852332.5
99,MOTHERSUMI,6195506861.2
100,FEDERALBNK,6166371384.0
101,RPOWER,6078581324.9
102,TATAMTRDVR,5972397058.85
103,TATACOMM,5940818227.8
104,INFRATEL,5892897478.0
105,GLENMARK,5796115516.9
106,UPL,5768903332.2
107,CENTURYTEX,5719452330.8
108,JETAIRWAYS,5609938870.95
109,BIOCON,5574428611.6
110,VIPIND,5470848041.5
111,MRF,5423958093.05
112,DIVISLAB,5408536956.65
113,HEXAWARE,5403035784.2
114,IOC,5255447304.1
115,AMTEKAUTO,5010861290.4
116,ALBK,4961462428.9
117,ADANIPOWER,4854617046.65
118,DELTACORP,4538242641.4
119,ENGINERSIN,4523207648.65
120,RIIL,4493534858.55
121,SUNTV,4466701470.9
122,UCOBANK,4343996839.2
123,SRF,4307888567.9
124,GLAXO,4303467216.8
125,IFCI,4203171807.4
126,GRASIM,4195135396.1
127,EXIDEIND,4019983905.55
128,DABUR,3946400614.45
129,JKTYRE,3915961747.7
130,SINTEX,3838077973.15
131,CESC,3835955313.8
132,HAVELLS,3787340345.25
133,EICHERMOT,3775144607.4
134,BFUTILITIE,3765342621.45
135,JISLJALEQS,3723745606.25
136,HCL-INSYS,3714791198.75
137,CUMMINSIND,3607883382.15
138,TATACHEM,3515202935.95
139,GMRINFRA,3509919082.95
140,BATAINDIA,3392814416.05
141,ABIRLANUVO,3380836683.6
142,PETRONET,3349119609.75
143,DISHTV,3341564403.6
144,JPPOWER,3302091873.05
145,SYNDIBANK,3267430894.05
146,NESTLEIND,3203748959.7
147,TATACOFFEE,3176585465.1
148,IGL,3163956598.4
149,GATI,3163023484.25
150,OIL,3130995427.7
151,ASTRAZEN,2883755791.35
152,SKSMICRO,2845848701.0
153,HINDZINC,2845281217.75
154,TVSMOTOR,2794851835.45
155,ESCORTS,2750390528.9
156,PAGEIND,2729141855.95
157,IBULHSGFIN,2714673885.05
158,MINDTREE,2669594979.6
159,BEML,2596872172.3
160,GODREJCP,2566268540.5
161,PERSISTENT,2558947543.85
162,INDIACEM,2393403506.2
163,SHREECEM,2274662505.2
164,JSWHL,2271382558.35
165,APOLLOHOSP,2270494712.05
166,GODREJIND,2260361606.55
167,CARERATING,2234929865.3
168,TORNTPOWER,2188777910.0
169,MONSANTO,2183435622.75
170,GEOMETRIC,2182525504.7
171,JAICORPLTD,2180616806.5
172,SOBHA,2143433868.5
173,JUBLFOOD,2065067999.8
174,FRL,2035341648.8
175,GODREJPROP,2031027938.65
176,COX&KINGS,2019546415.5
177,CADILAHC,2014709660.25
178,NAUKRI,1956916448.55
179,STCINDIA,1950377086.4
180,APLLTD,1929456769.75
181,JSWENERGY,1906948939.0
182,MCLEODRUSS,1897634728.35
183,IDBI,1869195745.65
184,TATAINVEST,1852544105.0
185,ANDHRABANK,1838915205.05
186,UBL,1810396379.75
187,DEN,1782014795.75
188,INGVYSYABK,1744717017.95
189,PTC,1738776262.5
190,KSCL,1729198619.3
191,J&KBANK,1727682866.1
192,GPPL,1708410564.7
193,COLPAL,1701141265.95
194,FINCABLES,1692683419.65
195,OFSS,1690794953.65
196,IPCALAB,1681779227.15
197,TTKPRESTIG,1673424751.95
198,RAYMOND,1665099039.5
199,AMARAJABAT,1662273049.9
200,TV18BRDCST,1652162806.15
201,BRITANNIA,1647466093.9
202,IOB,1631757263.1
203,STAR,1629568714.6
204,TRENT,1600004766.9
205,ANANTRAJ,1576960723.3
206,NHPC,1562553966.6
207,RADICO,1518128126.25
208,KARURVYSYA,1513104854.3
209,DHFL,1512201297.95
210,BALKRISIND,1501177480.0
211,BOSCHLTD,1499290490.75
212,RENUKA,1476953554.85
213,SOUTHBANK,1461075062.6
214,WHEELS,1452861145.45
215,MUTHOOTFIN,1452361703.0
216,MPHASIS,1451487430.5
217,MONNETISPA,1450711749.6
218,JUBILANT,1424748696.65
219,ABGSHIP,1393287010.3
220,BAJFINANCE,1390952399.05
221,IVRCLINFRA,1364909658.15
222,MMTC,1356531497.55
223,MASTEK,1353294109.85
224,CMC,1347813008.45
225,ROLTA,1324178523.45
226,PIDILITIND,1323661298.45
227,DISHMAN,1322086617.8
228,GOLDBEES,1310013075.25
229,GSKCONS,1263880590.55
230,BGRENERGY,1262178100.4
231,PUNJLLOYD,1257869326.7
232,PEL,1249336149.1
233,NCC,1239493873.7
234,THERMAX,1215158347.3
235,AMTEKINDIA,1195782051.7
236,SUZLON,1193131099.6
237,ESSDEE,1180303416.2
238,SELAN,1178638492.55
239,NUCLEUS,1147272090.1
240,HTMEDIA,1145477810.45
241,MARICO,1144412467.0
242,CONCOR,1143130694.3
243,SHRIRAMCIT,1134234854.35
244,REDINGTON,1117509503.0
245,NIITTECH,1110343498.2
246,INDIANB,1093925836.5
247,DENABANK,1093849758.0
248,BEL,1089858509.3
249,MARKSANS,1080123347.7
250,BOMDYEING,1066066320.3
251,OBEROIRLTY,1064796626.2
252,GVKPIL,1063632881.3
253,AJANTPHARM,1046182915.05
254,BAJAJELEC,1042455923.3
255,ESSAROIL,1040157308.55
256,SPARC,1037416620.75
257,HONDAPOWER,1013040137.65
258,PFIZER,1010784993.3
259,TIMKEN,999048966.9
260,GMDCLTD,993452553.35
261,TORNTPHARM,992572929.05
262,EMAMILTD,992569442.3
263,THEBYKE,982436750.8
264,RAJTV,980454567.25
265,HINDCOPPER,979775620.75
266,BASF,977337946.8
267,PRESTIGE,950035246.6
268,FSL,939550695.15
269,LOVABLE,927668746.8
270,AIAENG,917417778.05
271,RAMCOCEM,903846120.55
272,HCC,903014666.85
273,PRAJIND,902313992.95
274,GESHIP,893192538.85
275,RALLIS,892403487.25
276,SYMPHONY,882133380.85
277,DCBBANK,877155311.45
278,COROMANDEL,869018056.95
279,KPIT,840001812.25
280,TRF,834885168.85
281,PIIND,812999110.75
282,OMAXE,802811161.35
283,BERGEPAINT,800841550.75
284,EROSMEDIA,796069011.85
285,GUJFLUORO,788390381.45
286,GRANULES,784139238.3
287,HSIL,778002230.4
288,GDL,765818372.95
289,JKLAKSHMI,763811614.8
290,MAX,755347544.95
291,LIBERTSHOE,754305329.25
292,IGARASHI,739187443.4
293,JYOTHYLAB,738827651.25
294,KOLTEPATIL,734036107.6
295,INDHOTEL,708445946.6
