,parent_line_item,Mar 2009,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025
Equity Capital,,38.0,47.0,47.0,47.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0
Reserves,,933.0,1116.0,963.0,1244.0,1091.0,1192.0,1243.0,1214.0,1271.0,1284.0,1285.0,2210.0
Borrowings,,0.0,3.0,3.0,3.0,3.0,64.0,64.0,70.0,70.0,60.0,62.0,71.0
Other Liabilities,,361.0,878.0,872.0,939.0,959.0,1024.0,1178.0,1262.0,1354.0,1514.0,1511.0,1324.0
Total Liabilities,,1332.0,2044.0,1884.0,2233.0,2098.0,2326.0,2530.0,2592.0,2740.0,2904.0,2903.0,3651.0
Fixed Assets,,133.0,523.0,519.0,539.0,530.0,574.0,543.0,520.0,511.0,526.0,481.0,1580.0
CWIP,,2.0,9.0,23.0,27.0,17.0,16.0,16.0,42.0,73.0,119.0,67.0,74.0
Investments,,915.0,600.0,336.0,573.0,377.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,,283.0,912.0,1007.0,1094.0,1174.0,1652.0,1970.0,2030.0,2157.0,2259.0,2355.0,1997.0
Total Assets,,1332.0,2044.0,1884.0,2233.0,2098.0,2326.0,2530.0,2592.0,2740.0,2904.0,2903.0,3651.0
Land,Fixed Assets,6.0,65.0,66.0,64.0,64.0,127.0,63.0,63.0,63.0,63.0,62.0,
Building,Fixed Assets,58.0,202.0,205.0,206.0,221.0,229.0,288.0,294.0,312.0,287.0,246.0,
Plant Machinery,Fixed Assets,229.0,263.0,290.0,365.0,403.0,433.0,452.0,468.0,508.0,568.0,492.0,
Equipments,Fixed Assets,0.0,3.0,5.0,5.0,5.0,9.0,10.0,14.0,14.0,16.0,7.0,
Computers,Fixed Assets,23.0,9.0,12.0,14.0,14.0,14.0,18.0,20.0,18.0,22.0,19.0,
Furniture n fittings,Fixed Assets,8.0,31.0,32.0,30.0,32.0,32.0,32.0,34.0,37.0,42.0,34.0,
Vehicles,Fixed Assets,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,
Intangible Assets,Fixed Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1153.0
Other fixed assets,Fixed Assets,0.0,0.0,12.0,12.0,12.0,11.0,12.0,12.0,11.0,11.0,11.0,
Gross Block,Fixed Assets,325.0,577.0,624.0,697.0,752.0,855.0,877.0,905.0,965.0,1010.0,871.0,
Accumulated Depreciation,Fixed Assets,192.0,54.0,105.0,158.0,222.0,282.0,334.0,385.0,454.0,484.0,390.0,
Long term Borrowings,Borrowings,,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lease Liabilities,Borrowings,,0.0,0.0,0.0,0.0,64.0,64.0,70.0,70.0,60.0,62.0,71.0
Other Borrowings,Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Non controlling int,Other Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trade Payables,Other Liabilities,186.0,589.0,623.0,664.0,606.0,676.0,798.0,845.0,863.0,998.0,956.0,856.0
Advance from Customers,Other Liabilities,0.0,3.0,2.0,1.0,1.0,3.0,6.0,9.0,6.0,9.0,8.0,
Other liability items,Other Liabilities,175.0,286.0,246.0,273.0,351.0,344.0,374.0,408.0,485.0,507.0,547.0,468.0
Inventories,Other Assets,101.0,361.0,405.0,351.0,392.0,424.0,488.0,664.0,598.0,612.0,605.0,611.0
Trade receivables,Other Assets,76.0,352.0,412.0,395.0,444.0,396.0,413.0,496.0,552.0,575.0,585.0,535.0
Cash Equivalents,Other Assets,15.0,56.0,35.0,87.0,62.0,553.0,733.0,458.0,564.0,524.0,300.0,283.0
Loans n Advances,Other Assets,29.0,24.0,26.0,69.0,99.0,34.0,23.0,32.0,27.0,32.0,39.0,11.0
Other asset items,Other Assets,62.0,119.0,129.0,192.0,176.0,245.0,313.0,380.0,416.0,516.0,827.0,557.0
