,parent_line_item,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,35.0,35.0,35.0,35.0,35.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0
Reserves,,5241.0,6811.0,7663.0,8862.0,9636.0,13133.0,15361.0,17424.0,18600.0,20667.0,21502.0,23231.0
Borrowings,,917.0,881.0,1293.0,3403.0,2803.0,3146.0,2230.0,2129.0,2725.0,1656.0,1046.0,1868.0
Other Liabilities,,1805.0,1737.0,2175.0,2842.0,3019.0,3629.0,3886.0,4159.0,4973.0,5566.0,5880.0,6340.0
Total Liabilities,,7998.0,9463.0,11166.0,15142.0,15493.0,19944.0,21513.0,23749.0,26334.0,27925.0,28464.0,31476.0
Fixed Assets,,3004.0,3050.0,2599.0,3589.0,6182.0,6163.0,6216.0,7282.0,7481.0,9591.0,9315.0,11207.0
CWIP,,511.0,264.0,710.0,1427.0,1129.0,1197.0,997.0,1054.0,2797.0,1930.0,3796.0,1466.0
Investments,,1662.0,3030.0,4042.0,5434.0,2286.0,6358.0,8500.0,9033.0,8683.0,7556.0,7849.0,10272.0
Other Assets,,2820.0,3118.0,3814.0,4691.0,5896.0,6227.0,5800.0,6380.0,7373.0,8848.0,7504.0,8531.0
Total Assets,,7998.0,9463.0,11166.0,15142.0,15493.0,19944.0,21513.0,23749.0,26334.0,27925.0,28464.0,31476.0
Land,Fixed Assets,709.0,739.0,892.0,1110.0,1326.0,1646.0,1917.0,2323.0,2613.0,3031.0,3432.0,
Building,Fixed Assets,387.0,356.0,454.0,639.0,953.0,1151.0,1256.0,1421.0,1660.0,1841.0,2094.0,
Plant Machinery,Fixed Assets,7231.0,2704.0,3174.0,4659.0,8088.0,9306.0,10203.0,11783.0,12859.0,15969.0,17843.0,
Equipments,Fixed Assets,63.0,19.0,32.0,39.0,54.0,69.0,75.0,85.0,99.0,114.0,127.0,
Furniture n fittings,Fixed Assets,41.0,17.0,22.0,30.0,39.0,45.0,47.0,56.0,65.0,73.0,82.0,
Railway sidings,Fixed Assets,39.0,20.0,23.0,23.0,63.0,63.0,66.0,68.0,276.0,277.0,313.0,
Vehicles,Fixed Assets,39.0,14.0,20.0,26.0,38.0,52.0,53.0,95.0,133.0,307.0,364.0,
Intangible Assets,Fixed Assets,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,31.0,31.0,117.0
Other fixed assets,Fixed Assets,30.0,3.0,18.0,21.0,61.0,75.0,88.0,91.0,84.0,144.0,152.0,
Gross Block,Fixed Assets,8650.0,3872.0,4635.0,6548.0,10621.0,12407.0,13706.0,15921.0,17820.0,21786.0,24439.0,
Accumulated Depreciation,Fixed Assets,5645.0,822.0,2036.0,2959.0,4439.0,6244.0,7489.0,8639.0,10339.0,12195.0,15124.0,
Long term Borrowings,Borrowings,401.0,531.0,519.0,2208.0,2309.0,1639.0,1332.0,1298.0,581.0,713.0,727.0,729.0
Short term Borrowings,Borrowings,215.0,196.0,774.0,1186.0,473.0,710.0,509.0,716.0,1959.0,762.0,90.0,865.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,96.0,115.0,185.0,181.0,229.0,274.0
Other Borrowings,Borrowings,300.0,154.0,0.0,9.0,21.0,797.0,294.0,0.0,0.0,0.0,0.0,
Non controlling int,Other Liabilities,0.0,0.0,0.0,0.0,62.0,69.0,51.0,50.0,41.0,41.0,41.0,47.0
Trade Payables,Other Liabilities,292.0,257.0,352.0,727.0,538.0,658.0,883.0,890.0,1196.0,1214.0,1361.0,1622.0
Advance from Customers,Other Liabilities,93.0,93.0,149.0,164.0,136.0,208.0,210.0,237.0,271.0,317.0,416.0,
Other liability items,Other Liabilities,1419.0,1387.0,1674.0,1951.0,2282.0,2694.0,2741.0,2982.0,3465.0,3994.0,4063.0,4672.0
Inventories,Other Assets,919.0,815.0,1314.0,1569.0,1870.0,1713.0,1716.0,2497.0,2760.0,3555.0,2444.0,2774.0
Trade receivables,Other Assets,476.0,329.0,335.0,459.0,1024.0,1080.0,679.0,788.0,1212.0,1287.0,1401.0,1827.0
Cash Equivalents,Other Assets,308.0,83.0,111.0,121.0,439.0,614.0,708.0,290.0,161.0,422.0,294.0,342.0
Loans n Advances,Other Assets,8.0,50.0,60.0,109.0,129.0,150.0,110.0,132.0,177.0,191.0,135.0,199.0
Other asset items,Other Assets,1109.0,1842.0,1993.0,2433.0,2433.0,2668.0,2587.0,2674.0,3064.0,3394.0,3231.0,3389.0
