,parent_line_item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,47.0,234.0,234.0,234.0,255.0,255.0,278.0,278.0,278.0
Reserves,,1807.0,2256.0,2593.0,3400.0,5580.0,7021.0,9369.0,10275.0,11245.0
Borrowings,,568.0,729.0,1114.0,796.0,543.0,1172.0,597.0,789.0,1005.0
Other Liabilities,,1049.0,834.0,1121.0,990.0,2047.0,3147.0,4150.0,4977.0,7533.0
Total Liabilities,,3471.0,4052.0,5062.0,5420.0,8425.0,11595.0,14393.0,16320.0,20061.0
Fixed Assets,,1747.0,1774.0,2012.0,1802.0,2455.0,3311.0,3995.0,6357.0,8134.0
CWIP,,91.0,358.0,235.0,506.0,768.0,2769.0,3764.0,2708.0,2792.0
Investments,,195.0,274.0,144.0,282.0,1036.0,1474.0,2262.0,2118.0,1582.0
Other Assets,,1437.0,1647.0,2670.0,2829.0,4166.0,4041.0,4372.0,5137.0,7553.0
Total Assets,,3471.0,4052.0,5062.0,5420.0,8425.0,11595.0,14393.0,16320.0,20061.0
Land,Fixed Assets,220.0,247.0,255.0,256.0,295.0,359.0,392.0,438.0,
Building,Fixed Assets,433.0,456.0,534.0,551.0,697.0,953.0,1025.0,1758.0,
Plant Machinery,Fixed Assets,1713.0,1884.0,2326.0,2397.0,3142.0,4521.0,5714.0,8000.0,
Equipments,Fixed Assets,3.0,3.0,4.0,5.0,6.0,11.0,13.0,18.0,
Furniture n fittings,Fixed Assets,2.0,2.0,2.0,2.0,2.0,4.0,5.0,5.0,
Vehicles,Fixed Assets,4.0,4.0,5.0,6.0,8.0,14.0,17.0,18.0,
Intangible Assets,Fixed Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0
Other fixed assets,Fixed Assets,1.0,2.0,2.0,2.0,8.0,155.0,158.0,159.0,
Gross Block,Fixed Assets,2375.0,2597.0,3128.0,3218.0,4158.0,6016.0,7324.0,10395.0,
Accumulated Depreciation,Fixed Assets,628.0,822.0,1116.0,1416.0,1703.0,2706.0,3328.0,4039.0,
Long term Borrowings,Borrowings,202.0,213.0,351.0,120.0,126.0,332.0,269.0,155.0,97.0
Short term Borrowings,Borrowings,279.0,443.0,699.0,669.0,408.0,830.0,319.0,624.0,884.0
Lease Liabilities,Borrowings,3.0,7.0,6.0,7.0,9.0,10.0,9.0,10.0,24.0
Other Borrowings,Borrowings,84.0,66.0,58.0,0.0,0.0,0.0,0.0,0.0,
Non controlling int,Other Liabilities,210.0,4.0,4.0,4.0,4.0,386.0,671.0,725.0,834.0
Trade Payables,Other Liabilities,447.0,311.0,583.0,367.0,1194.0,1538.0,2369.0,2917.0,4865.0
Advance from Customers,Other Liabilities,112.0,35.0,40.0,56.0,135.0,76.0,71.0,121.0,
Other liability items,Other Liabilities,280.0,484.0,494.0,563.0,714.0,1148.0,1038.0,1215.0,1834.0
Inventories,Other Assets,558.0,732.0,1487.0,1030.0,2057.0,2214.0,2170.0,2990.0,4501.0
Trade receivables,Other Assets,369.0,213.0,159.0,534.0,376.0,609.0,708.0,793.0,905.0
Cash Equivalents,Other Assets,53.0,98.0,121.0,324.0,326.0,190.0,50.0,68.0,106.0
Loans n Advances,Other Assets,7.0,53.0,501.0,524.0,1050.0,10.0,4.0,-8.0,54.0
Other asset items,Other Assets,449.0,551.0,403.0,418.0,357.0,1017.0,1439.0,1294.0,1987.0
