nse_symbol,status
360ONE,"ok:consolidated:headline=10:cols=9;schedules=Fixed Assets=10,Borrowings=4,Other Liabilities=3,Other Assets=5"
3MINDIA,"ok:consolidated:headline=10:cols=7;schedules=Fixed Assets=10,Borrowings=3,Other Liabilities=3,Other Assets=5"
ABLBL,"ok:consolidated:headline=10:cols=2;schedules=Fixed Assets=11,Borrowings=5,Other Liabilities=3,Other Assets=5"
ABREL,"ok:consolidated:headline=10:cols=10;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=4,Other Assets=5"
ABB,"ok:consolidated:headline=10:cols=4;schedules=Fixed Assets=10,Borrowings=2,Other Liabilities=3,Other Assets=5"
ACC,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=11,Borrowings=2,Other Liabilities=4,Other Assets=5"
ACMESOLAR,"ok:consolidated:headline=10:cols=7;schedules=Fixed Assets=10,Borrowings=4,Other Liabilities=4,Other Assets=5"
AIAENG,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=10,Borrowings=4,Other Liabilities=4,Other Assets=5"
APLAPOLLO,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=4,Other Assets=5"
AUBANK,"ok:consolidated:headline=10:cols=4;schedules=Fixed Assets=6,Other Liabilities=2,Other Assets=3"
AWL,"ok:consolidated:headline=10:cols=8;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=4,Other Assets=5"
AADHARHFC,"ok:consolidated:headline=10:cols=8;schedules=Fixed Assets=10,Other Liabilities=3,Other Assets=4"
AARTIIND,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=10,Borrowings=4,Other Liabilities=4,Other Assets=5"
AAVAS,"ok:consolidated:headline=10:cols=7;schedules=Fixed Assets=9,Other Liabilities=2,Other Assets=4"
ABBOTINDIA,"ok:standalone:headline=10:cols=12;schedules=Fixed Assets=10,Borrowings=1,Other Liabilities=3,Other Assets=5"
ACE,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=11,Borrowings=5,Other Liabilities=4,Other Assets=5"
ACUTAAS,"ok:consolidated:headline=10:cols=10;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=4,Other Assets=5"
ADANIENSOL,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=12,Borrowings=4,Other Liabilities=4,Other Assets=5"
ADANIENT,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=13,Borrowings=4,Other Liabilities=4,Other Assets=5"
ADANIGREEN,"ok:consolidated:headline=10:cols=11;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=4,Other Assets=5"
ADANIPORTS,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=13,Borrowings=5,Other Liabilities=4,Other Assets=5"
ADANIPOWER,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=12,Borrowings=5,Other Liabilities=4,Other Assets=5"
ATGL,"ok:consolidated:headline=10:cols=9;schedules=Fixed Assets=11,Borrowings=5,Other Liabilities=3,Other Assets=5"
ABSLAMC,"ok:consolidated:headline=10:cols=10;schedules=Fixed Assets=10,Borrowings=2,Other Liabilities=2,Other Assets=4"
ABCAPITAL,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=10,Other Liabilities=4,Other Assets=5"
ABFRL,"ok:consolidated:headline=10:cols=8;schedules=Fixed Assets=11,Borrowings=5,Other Liabilities=4,Other Assets=5"
CPPLUS,"ok:consolidated:headline=10:cols=7;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=4,Other Assets=5"
AEGISLOG,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=10,Borrowings=4,Other Liabilities=4,Other Assets=5"
AEGISVOPAK,"ok:consolidated:headline=10:cols=5;schedules=Fixed Assets=10,Borrowings=5,Other Liabilities=4,Other Assets=5"
AFCONS,"ok:consolidated:headline=10:cols=7;schedules=Fixed Assets=10,Borrowings=5,Other Liabilities=4,Other Assets=5"
AFFLE,"ok:consolidated:headline=10:cols=9;schedules=Fixed Assets=9,Borrowings=4,Other Liabilities=3,Other Assets=4"
AJANTPHARM,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=3,Other Assets=5"
ALKEM,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=10,Borrowings=4,Other Liabilities=4,Other Assets=5"
