,parent_line_item,Jun 2015,Jun 2016,Jun 2017,Jun 2018,Jun 2019,Jun 2020,Jun 2021,Jun 2022,Jun 2023,Jun 2024,Mar 2025,Mar 2026
Equity Capital,,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0
Reserves,,710.0,904.0,468.0,662.0,746.0,879.0,756.0,829.0,956.0,939.0,991.0,914.0
Borrowings,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Liabilities,,468.0,488.0,498.0,515.0,432.0,441.0,606.0,758.0,927.0,859.0,895.0,925.0
Total Liabilities,,1210.0,1424.0,998.0,1209.0,1210.0,1352.0,1395.0,1619.0,1916.0,1831.0,1918.0,1871.0
Fixed Assets,,156.0,178.0,214.0,264.0,300.0,296.0,310.0,363.0,389.0,347.0,342.0,304.0
CWIP,,63.0,88.0,63.0,40.0,25.0,21.0,72.0,65.0,32.0,26.0,17.0,33.0
Investments,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,,991.0,1158.0,721.0,904.0,886.0,1034.0,1013.0,1191.0,1494.0,1458.0,1558.0,1534.0
Total Assets,,1210.0,1424.0,998.0,1209.0,1210.0,1352.0,1395.0,1619.0,1916.0,1831.0,1918.0,1871.0
Land,Fixed Assets,9.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.31,7.31,7.31,
Building,Fixed Assets,34.81,21.91,29.83,36.6,60.84,66.24,68.62,74.17,78.44,83.77,101.6,
Plant Machinery,Fixed Assets,328.24,145.18,185.1,264.88,311.21,311.28,357.6,433.57,502.26,522.87,557.63,
Equipments,Fixed Assets,58.79,26.55,38.8,63.72,73.04,91.12,110.27,144.91,174.17,171.28,172.51,
Furniture n fittings,Fixed Assets,10.57,2.62,2.89,7.46,10.32,25.72,28.09,32.54,35.75,46.12,49.91,
Vehicles,Fixed Assets,0.5,0.44,0.35,1.0,1.0,1.64,1.64,2.14,2.37,2.55,2.97,
Other fixed assets,Fixed Assets,0.0,0.0,0.0,0.0,0.0,7.31,7.31,7.31,0.0,0.0,0.0,
Gross Block,Fixed Assets,442.6,196.7,256.97,373.66,456.41,503.31,573.53,694.64,800.3,833.9,891.93,
Accumulated Depreciation,Fixed Assets,286.43,18.6,42.88,109.25,156.23,206.85,263.76,331.6,410.83,486.98,549.82,
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.12,0.05,0.05,0.05,0.02
Trade Payables,Other Liabilities,268.0,321.0,323.0,329.0,282.0,287.0,408.0,555.0,680.0,639.0,651.0,669.0
Other liability items,Other Liabilities,200.0,167.0,175.0,186.0,150.0,153.0,198.0,202.0,247.0,220.0,243.0,256.0
Inventories,Other Assets,202.0,245.0,222.0,200.0,234.0,284.0,367.0,373.0,412.0,396.0,453.0,520.0
Trade receivables,Other Assets,117.0,110.0,130.0,176.0,182.0,191.0,198.0,267.0,320.0,274.0,379.0,398.0
Cash Equivalents,Other Assets,181.0,537.0,116.0,237.0,142.0,232.0,166.0,291.0,456.0,476.0,419.0,269.0
Loans n Advances,Other Assets,247.0,70.0,26.0,5.0,20.0,21.0,11.0,7.0,13.0,5.0,7.0,25.0
Other asset items,Other Assets,244.0,197.0,227.0,286.0,307.0,306.0,272.0,252.0,293.0,307.0,300.0,322.0
