,parent_line_item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,537.0,537.0,537.0,537.0,966.0,970.0,971.0,972.0,972.0,973.0
Reserves,,655.0,627.0,426.0,2016.0,4673.0,5313.0,6439.0,7436.0,8409.0,9774.0
Borrowings,,874.0,981.0,1003.0,875.0,1101.0,913.0,689.0,1299.0,3010.0,3478.0
Other Liabilities,,1080.0,1157.0,1389.0,546.0,1803.0,1993.0,2003.0,2293.0,2795.0,3006.0
Total Liabilities,,3146.0,3302.0,3355.0,3974.0,8543.0,9189.0,10102.0,12000.0,15186.0,17231.0
Fixed Assets,,2244.0,2227.0,2192.0,851.0,6536.0,7018.0,7039.0,8784.0,11502.0,12992.0
CWIP,,46.0,38.0,87.0,28.0,27.0,151.0,252.0,553.0,901.0,592.0
Investments,,0.0,0.0,1.0,2182.0,1.0,1.0,1.0,2.0,3.0,5.0
Other Assets,,856.0,1036.0,1075.0,913.0,1980.0,2020.0,2810.0,2661.0,2781.0,3641.0
Total Assets,,3146.0,3302.0,3355.0,3974.0,8543.0,9189.0,10102.0,12000.0,15186.0,17231.0
Land,Fixed Assets,139.0,139.0,144.0,0.0,397.0,591.0,592.0,1265.0,2092.0,
Building,Fixed Assets,444.0,490.0,501.0,61.0,713.0,751.0,784.0,1126.0,2223.0,
Plant Machinery,Fixed Assets,85.0,88.0,96.0,74.0,319.0,306.0,323.0,241.0,416.0,
Equipments,Fixed Assets,348.0,325.0,372.0,439.0,655.0,761.0,884.0,1341.0,1999.0,
Computers,Fixed Assets,13.0,16.0,22.0,18.0,27.0,33.0,39.0,58.0,114.0,
Furniture n fittings,Fixed Assets,54.0,59.0,66.0,56.0,89.0,95.0,105.0,113.0,101.0,
Vehicles,Fixed Assets,12.0,15.0,14.0,5.0,18.0,23.0,29.0,50.0,73.0,
Intangible Assets,Fixed Assets,285.0,285.0,285.0,586.0,3117.0,2948.0,2948.0,3449.0,3977.0,6007.0
Other fixed assets,Fixed Assets,1043.0,1047.0,1057.0,13.0,1764.0,2251.0,2255.0,2323.0,2347.0,
Gross Block,Fixed Assets,2423.0,2464.0,2557.0,1252.0,7099.0,7760.0,7958.0,9966.0,13342.0,
Accumulated Depreciation,Fixed Assets,178.0,237.0,365.0,401.0,563.0,742.0,920.0,1182.0,1841.0,
Long term Borrowings,Borrowings,772.0,849.0,890.0,106.0,843.0,629.0,497.0,1061.0,2270.0,2439.0
Short term Borrowings,Borrowings,87.0,104.0,74.0,727.0,78.0,97.0,68.0,89.0,219.0,468.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,20.0,181.0,187.0,124.0,149.0,521.0,572.0
Other Borrowings,Borrowings,15.0,28.0,39.0,22.0,0.0,0.0,0.0,0.0,0.0,
Non controlling int,Other Liabilities,-73.0,-133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trade Payables,Other Liabilities,214.0,265.0,292.0,180.0,436.0,444.0,543.0,633.0,808.0,859.0
Advance from Customers,Other Liabilities,7.0,5.0,7.0,20.0,24.0,22.0,33.0,42.0,68.0,
Other liability items,Other Liabilities,932.0,1020.0,1090.0,346.0,1344.0,1527.0,1426.0,1617.0,1920.0,2147.0
Inventories,Other Assets,23.0,28.0,26.0,27.0,54.0,61.0,76.0,80.0,106.0,114.0
Trade receivables,Other Assets,235.0,280.0,363.0,96.0,366.0,385.0,336.0,463.0,687.0,970.0
Cash Equivalents,Other Assets,23.0,90.0,12.0,120.0,653.0,499.0,1468.0,1099.0,682.0,701.0
Loans n Advances,Other Assets,10.0,9.0,9.0,467.0,20.0,17.0,26.0,17.0,39.0,1030.0
Other asset items,Other Assets,565.0,630.0,666.0,204.0,888.0,1056.0,904.0,1002.0,1267.0,827.0
