,parent_line_item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,2731.0,2496.0,2524.0,3813.0,5622.0,4022.0,4565.0,4542.0
Expenses,,1946.0,2091.0,1938.0,2682.0,3651.0,3190.0,3486.0,3228.0
Operating Profit,,784.0,405.0,586.0,1131.0,1971.0,832.0,1079.0,1314.0
OPM %,,29.0,16.0,23.0,30.0,35.0,21.0,24.0,29.0
Other Income,,76.0,195.0,178.0,163.0,181.0,114.0,111.0,17.0
Interest,,56.0,101.0,109.0,76.0,115.0,128.0,158.0,117.0
Depreciation,,162.0,176.0,185.0,188.0,218.0,259.0,292.0,295.0
Profit before tax,,642.0,323.0,470.0,1030.0,1819.0,558.0,740.0,919.0
Tax %,,-94.0,41.0,149.0,25.0,25.0,25.0,22.0,26.0
Net Profit,,1246.0,190.0,-228.0,774.0,1356.0,419.0,575.0,678.0
EPS in Rs,,17.29,-20.77,70.47,123.41,38.12,52.38,61.72,
Dividend Payout %,,0.0,0.0,0.0,6.0,3.0,8.0,6.0,0.0
Sales Growth %,Sales,,-8.58,1.09,51.1,47.44,-28.46,13.49,-0.49
Exceptional items,Other Income,-8.24,-26.01,-2.47,21.0,2.64,6.15,0.54,-18.0
Other income normal,Other Income,83.86,221.24,180.48,141.84,178.43,107.74,110.91,35.0
Exceptional items AT,Net Profit,-5.0,-14.0,-2.0,16.0,2.0,5.0,0.0,-13.0
Profit excl Excep,Net Profit,1252.0,204.0,-226.0,758.0,1354.0,414.0,575.0,691.0
Profit for PE,Net Profit,1252.0,204.0,-226.0,758.0,1354.0,414.0,575.0,691.0
Profit for EPS,Net Profit,1246.0,190.0,-228.0,774.0,1356.0,419.0,575.0,678.0
Profit Growth %,Net Profit,,-84.0,-211.0,435.0,78.0,-69.0,39.0,20.0
