,parent_line_item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,241.0,393.0,419.0,512.0,685.0,936.0,791.0,967.0,957.0
Expenses,,167.0,257.0,234.0,253.0,385.0,533.0,459.0,579.0,602.0
Operating Profit,,74.0,137.0,186.0,260.0,300.0,403.0,332.0,388.0,355.0
OPM %,,31.0,35.0,44.0,51.0,44.0,43.0,42.0,40.0,37.0
Other Income,,5.0,11.0,11.0,25.0,30.0,30.0,41.0,39.0,33.0
Interest,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
Depreciation,,8.0,11.0,14.0,17.0,25.0,36.0,46.0,69.0,78.0
Profit before tax,,70.0,137.0,182.0,267.0,305.0,396.0,326.0,357.0,310.0
Tax %,,30.0,28.0,23.0,26.0,25.0,25.0,25.0,26.0,26.0
Net Profit,,49.0,98.0,140.0,198.0,228.0,295.0,244.0,264.0,230.0
EPS in Rs,,345.41,689.84,1051.67,18.68,21.51,27.78,22.97,24.88,21.61
Dividend Payout %,,12.0,15.0,2.0,134.0,15.0,18.0,22.0,24.0,19.0
Sales Growth %,Sales,,63.13,6.62,22.21,33.66,36.64,-15.42,22.13,-1.04
Material Cost %,Expenses,47.05,43.54,30.82,24.12,32.8,34.83,35.01,36.28,37.35
Manufacturing Cost %,Expenses,11.95,12.12,12.74,11.53,12.92,12.61,11.93,12.87,0.0
Employee Cost %,Expenses,6.64,6.32,7.4,8.5,5.04,4.83,6.12,5.83,5.0
Other Cost %,Expenses,3.72,3.25,4.78,5.21,5.41,4.72,4.95,4.87,20.53
Exceptional items,Other Income,0.0,-0.13,0.0,-0.31,0.0,-0.08,3.46,-0.02,0.0
Other income normal,Other Income,4.54,11.29,10.87,25.64,29.97,29.83,37.83,38.59,32.56
Exceptional items AT,Net Profit,0.0,-0.0,0.0,-0.0,0.0,-0.0,3.0,-0.0,0.0
Profit excl Excep,Net Profit,49.0,98.0,140.0,199.0,228.0,295.0,241.0,264.0,230.0
Profit for PE,Net Profit,49.0,98.0,140.0,199.0,228.0,295.0,241.0,264.0,230.0
Profit for EPS,Net Profit,49.0,98.0,140.0,198.0,228.0,295.0,244.0,264.0,230.0
Profit Growth %,Net Profit,,100.0,43.0,42.0,15.0,29.0,-18.0,10.0,-13.0
