nse_symbol,year,line_item,parent_line_item,value
BSOFT,Mar 2026,Manufacturing Cost %,Expenses,0.0
BSOFT,Mar 2015,Employee Cost %,Expenses,58.0
BSOFT,Mar 2016,Employee Cost %,Expenses,60.0
BSOFT,Mar 2017,Employee Cost %,Expenses,63.0
BSOFT,Mar 2018,Employee Cost %,Expenses,60.0
BSOFT,Mar 2019,Employee Cost %,Expenses,60.0
BSOFT,Mar 2020,Employee Cost %,Expenses,61.0
BSOFT,Mar 2021,Employee Cost %,Expenses,60.0
BSOFT,Mar 2022,Employee Cost %,Expenses,57.0
BSOFT,Mar 2023,Employee Cost %,Expenses,59.0
BSOFT,Mar 2024,Employee Cost %,Expenses,58.0
BSOFT,Mar 2025,Employee Cost %,Expenses,60.0
BSOFT,Mar 2026,Employee Cost %,Expenses,60.0
BSOFT,Mar 2015,Other Cost %,Expenses,11.0
BSOFT,Mar 2016,Other Cost %,Expenses,11.0
BSOFT,Mar 2017,Other Cost %,Expenses,10.0
BSOFT,Mar 2018,Other Cost %,Expenses,10.0
BSOFT,Mar 2019,Other Cost %,Expenses,11.0
BSOFT,Mar 2020,Other Cost %,Expenses,8.0
BSOFT,Mar 2021,Other Cost %,Expenses,4.0
BSOFT,Mar 2022,Other Cost %,Expenses,4.0
BSOFT,Mar 2023,Other Cost %,Expenses,9.0
BSOFT,Mar 2024,Other Cost %,Expenses,6.0
BSOFT,Mar 2025,Other Cost %,Expenses,5.0
BSOFT,Mar 2026,Other Cost %,Expenses,24.0
BSOFT,Mar 2015,Minority share,Net Profit,0.0
BSOFT,Mar 2016,Minority share,Net Profit,0.0
BSOFT,Mar 2017,Minority share,Net Profit,-0.0
BSOFT,Mar 2018,Minority share,Net Profit,-2.0
BSOFT,Mar 2019,Minority share,Net Profit,-3.0
BSOFT,Mar 2020,Minority share,Net Profit,0.0
BSOFT,Mar 2021,Minority share,Net Profit,0.0
BSOFT,Mar 2022,Minority share,Net Profit,0.0
BSOFT,Mar 2023,Minority share,Net Profit,0.0
BSOFT,Mar 2024,Minority share,Net Profit,0.0
BSOFT,Mar 2025,Minority share,Net Profit,0.0
BSOFT,Mar 2026,Minority share,Net Profit,0.0
BSOFT,Mar 2015,Exceptional items AT,Net Profit,17.0
BSOFT,Mar 2016,Exceptional items AT,Net Profit,-9.0
BSOFT,Mar 2017,Exceptional items AT,Net Profit,20.0
BSOFT,Mar 2018,Exceptional items AT,Net Profit,0.0
BSOFT,Mar 2019,Exceptional items AT,Net Profit,22.0
BSOFT,Mar 2020,Exceptional items AT,Net Profit,6.0
BSOFT,Mar 2021,Exceptional items AT,Net Profit,0.0
BSOFT,Mar 2022,Exceptional items AT,Net Profit,4.0
BSOFT,Mar 2023,Exceptional items AT,Net Profit,7.0
BSOFT,Mar 2024,Exceptional items AT,Net Profit,6.0
BSOFT,Mar 2025,Exceptional items AT,Net Profit,8.0
BSOFT,Mar 2026,Exceptional items AT,Net Profit,-26.0
BSOFT,Mar 2015,Profit excl Excep,Net Profit,220.0
BSOFT,Mar 2016,Profit excl Excep,Net Profit,290.0
BSOFT,Mar 2017,Profit excl Excep,Net Profit,218.0
BSOFT,Mar 2018,Profit excl Excep,Net Profit,254.0
BSOFT,Mar 2019,Profit excl Excep,Net Profit,270.0
BSOFT,Mar 2020,Profit excl Excep,Net Profit,219.0
BSOFT,Mar 2021,Profit excl Excep,Net Profit,321.0
BSOFT,Mar 2022,Profit excl Excep,Net Profit,460.0
BSOFT,Mar 2023,Profit excl Excep,Net Profit,325.0
BSOFT,Mar 2024,Profit excl Excep,Net Profit,617.0
BSOFT,Mar 2025,Profit excl Excep,Net Profit,508.0
BSOFT,Mar 2026,Profit excl Excep,Net Profit,545.0
BSOFT,Mar 2015,Profit for PE,Net Profit,220.0
BSOFT,Mar 2016,Profit for PE,Net Profit,290.0
BSOFT,Mar 2017,Profit for PE,Net Profit,218.0
BSOFT,Mar 2018,Profit for PE,Net Profit,253.0
BSOFT,Mar 2019,Profit for PE,Net Profit,267.0
BSOFT,Mar 2020,Profit for PE,Net Profit,219.0
BSOFT,Mar 2021,Profit for PE,Net Profit,321.0
BSOFT,Mar 2022,Profit for PE,Net Profit,460.0
BSOFT,Mar 2023,Profit for PE,Net Profit,325.0
BSOFT,Mar 2024,Profit for PE,Net Profit,617.0
BSOFT,Mar 2025,Profit for PE,Net Profit,508.0
BSOFT,Mar 2026,Profit for PE,Net Profit,545.0
BSOFT,Mar 2015,Profit for EPS,Net Profit,237.0
BSOFT,Mar 2016,Profit for EPS,Net Profit,281.0
BSOFT,Mar 2017,Profit for EPS,Net Profit,239.0
BSOFT,Mar 2018,Profit for EPS,Net Profit,253.0
BSOFT,Mar 2019,Profit for EPS,Net Profit,289.0
BSOFT,Mar 2020,Profit for EPS,Net Profit,224.0
BSOFT,Mar 2021,Profit for EPS,Net Profit,321.0
BSOFT,Mar 2022,Profit for EPS,Net Profit,464.0
BSOFT,Mar 2023,Profit for EPS,Net Profit,332.0
BSOFT,Mar 2024,Profit for EPS,Net Profit,624.0
BSOFT,Mar 2025,Profit for EPS,Net Profit,517.0
BSOFT,Mar 2026,Profit for EPS,Net Profit,518.0
BSOFT,Mar 2015,Profit Growth %,Net Profit,-9.0
BSOFT,Mar 2016,Profit Growth %,Net Profit,32.0
BSOFT,Mar 2017,Profit Growth %,Net Profit,-25.0
BSOFT,Mar 2018,Profit Growth %,Net Profit,16.0
BSOFT,Mar 2019,Profit Growth %,Net Profit,6.0
BSOFT,Mar 2020,Profit Growth %,Net Profit,-18.0
BSOFT,Mar 2021,Profit Growth %,Net Profit,47.0
BSOFT,Mar 2022,Profit Growth %,Net Profit,43.0
BSOFT,Mar 2023,Profit Growth %,Net Profit,-29.0
BSOFT,Mar 2024,Profit Growth %,Net Profit,90.0
BSOFT,Mar 2025,Profit Growth %,Net Profit,-18.0
BSOFT,Mar 2026,Profit Growth %,Net Profit,7.0
BLUEDART,Mar 2015,Sales,,2272.0
BLUEDART,Mar 2016,Sales,,2563.0
BLUEDART,Mar 2017,Sales,,2690.0
BLUEDART,Mar 2018,Sales,,2799.0
BLUEDART,Mar 2019,Sales,,3174.0
BLUEDART,Mar 2020,Sales,,3175.0
BLUEDART,Mar 2021,Sales,,3288.0
BLUEDART,Mar 2022,Sales,,4410.0
BLUEDART,Mar 2023,Sales,,5172.0
BLUEDART,Mar 2024,Sales,,5268.0
BLUEDART,Mar 2025,Sales,,5720.0
BLUEDART,Mar 2026,Sales,,6141.0
BLUEDART,Mar 2015,Expenses,,2048.0
BLUEDART,Mar 2016,Expenses,,2157.0
BLUEDART,Mar 2017,Expenses,,2348.0
BLUEDART,Mar 2018,Expenses,,2447.0
BLUEDART,Mar 2019,Expenses,,2888.0
BLUEDART,Mar 2020,Expenses,,2701.0
BLUEDART,Mar 2021,Expenses,,2602.0
BLUEDART,Mar 2022,Expenses,,3410.0
BLUEDART,Mar 2023,Expenses,,4235.0
BLUEDART,Mar 2024,Expenses,,4415.0
BLUEDART,Mar 2025,Expenses,,4844.0
BLUEDART,Mar 2026,Expenses,,5190.0
BLUEDART,Mar 2015,Operating Profit,,224.0
BLUEDART,Mar 2016,Operating Profit,,406.0
BLUEDART,Mar 2017,Operating Profit,,342.0
BLUEDART,Mar 2018,Operating Profit,,352.0
BLUEDART,Mar 2019,Operating Profit,,286.0
BLUEDART,Mar 2020,Operating Profit,,475.0
BLUEDART,Mar 2021,Operating Profit,,686.0
BLUEDART,Mar 2022,Operating Profit,,1000.0
BLUEDART,Mar 2023,Operating Profit,,938.0
BLUEDART,Mar 2024,Operating Profit,,853.0
BLUEDART,Mar 2025,Operating Profit,,876.0
BLUEDART,Mar 2026,Operating Profit,,951.0
BLUEDART,Mar 2015,OPM %,,10.0
BLUEDART,Mar 2016,OPM %,,16.0
BLUEDART,Mar 2017,OPM %,,13.0
BLUEDART,Mar 2018,OPM %,,13.0
BLUEDART,Mar 2019,OPM %,,9.0
BLUEDART,Mar 2020,OPM %,,15.0
BLUEDART,Mar 2021,OPM %,,21.0
BLUEDART,Mar 2022,OPM %,,23.0
BLUEDART,Mar 2023,OPM %,,18.0
BLUEDART,Mar 2024,OPM %,,16.0
BLUEDART,Mar 2025,OPM %,,15.0
BLUEDART,Mar 2026,OPM %,,15.0
BLUEDART,Mar 2015,Other Income,,25.0
BLUEDART,Mar 2016,Other Income,,35.0
BLUEDART,Mar 2017,Other Income,,26.0
BLUEDART,Mar 2018,Other Income,,20.0
BLUEDART,Mar 2019,Other Income,,19.0
BLUEDART,Mar 2020,Other Income,,-49.0
BLUEDART,Mar 2021,Other Income,,-6.0
BLUEDART,Mar 2022,Other Income,,-5.0
BLUEDART,Mar 2023,Other Income,,32.0
BLUEDART,Mar 2024,Other Income,,51.0
BLUEDART,Mar 2025,Other Income,,38.0
BLUEDART,Mar 2026,Other Income,,-2.0
BLUEDART,Mar 2015,Interest,,11.0
BLUEDART,Mar 2016,Interest,,43.0
BLUEDART,Mar 2017,Interest,,45.0
BLUEDART,Mar 2018,Interest,,40.0
BLUEDART,Mar 2019,Interest,,43.0
BLUEDART,Mar 2020,Interest,,117.0
BLUEDART,Mar 2021,Interest,,111.0
BLUEDART,Mar 2022,Interest,,87.0
BLUEDART,Mar 2023,Interest,,67.0
BLUEDART,Mar 2024,Interest,,78.0
BLUEDART,Mar 2025,Interest,,82.0
BLUEDART,Mar 2026,Interest,,86.0
BLUEDART,Mar 2015,Depreciation,,44.0
BLUEDART,Mar 2016,Depreciation,,102.0
BLUEDART,Mar 2017,Depreciation,,104.0
BLUEDART,Mar 2018,Depreciation,,114.0
BLUEDART,Mar 2019,Depreciation,,128.0
BLUEDART,Mar 2020,Depreciation,,347.0
BLUEDART,Mar 2021,Depreciation,,430.0
BLUEDART,Mar 2022,Depreciation,,395.0
BLUEDART,Mar 2023,Depreciation,,394.0
BLUEDART,Mar 2024,Depreciation,,433.0
BLUEDART,Mar 2025,Depreciation,,485.0
BLUEDART,Mar 2026,Depreciation,,536.0
BLUEDART,Mar 2015,Profit before tax,,194.0
BLUEDART,Mar 2016,Profit before tax,,296.0
BLUEDART,Mar 2017,Profit before tax,,219.0
BLUEDART,Mar 2018,Profit before tax,,217.0
BLUEDART,Mar 2019,Profit before tax,,134.0
BLUEDART,Mar 2020,Profit before tax,,-39.0
BLUEDART,Mar 2021,Profit before tax,,140.0
BLUEDART,Mar 2022,Profit before tax,,512.0
BLUEDART,Mar 2023,Profit before tax,,508.0
BLUEDART,Mar 2024,Profit before tax,,393.0
BLUEDART,Mar 2025,Profit before tax,,347.0
BLUEDART,Mar 2026,Profit before tax,,327.0
BLUEDART,Mar 2015,Tax %,,34.0
BLUEDART,Mar 2016,Tax %,,33.0
BLUEDART,Mar 2017,Tax %,,36.0
BLUEDART,Mar 2018,Tax %,,33.0
BLUEDART,Mar 2019,Tax %,,33.0
BLUEDART,Mar 2020,Tax %,,7.0
BLUEDART,Mar 2021,Tax %,,27.0
BLUEDART,Mar 2022,Tax %,,25.0
BLUEDART,Mar 2023,Tax %,,27.0
BLUEDART,Mar 2024,Tax %,,23.0
BLUEDART,Mar 2025,Tax %,,27.0
BLUEDART,Mar 2026,Tax %,,24.0
BLUEDART,Mar 2015,Net Profit,,129.0
BLUEDART,Mar 2016,Net Profit,,197.0
BLUEDART,Mar 2017,Net Profit,,140.0
BLUEDART,Mar 2018,Net Profit,,145.0
BLUEDART,Mar 2019,Net Profit,,90.0
BLUEDART,Mar 2020,Net Profit,,-42.0
BLUEDART,Mar 2021,Net Profit,,102.0
BLUEDART,Mar 2022,Net Profit,,382.0
BLUEDART,Mar 2023,Net Profit,,371.0
BLUEDART,Mar 2024,Net Profit,,301.0
BLUEDART,Mar 2025,Net Profit,,252.0
BLUEDART,Mar 2026,Net Profit,,247.0
BLUEDART,Mar 2015,EPS in Rs,,54.51
BLUEDART,Mar 2016,EPS in Rs,,82.95
BLUEDART,Mar 2017,EPS in Rs,,58.93
BLUEDART,Mar 2018,EPS in Rs,,60.99
BLUEDART,Mar 2019,EPS in Rs,,37.83
BLUEDART,Mar 2020,EPS in Rs,,-17.64
BLUEDART,Mar 2021,EPS in Rs,,42.91
BLUEDART,Mar 2022,EPS in Rs,,161.08
BLUEDART,Mar 2023,EPS in Rs,,156.16
BLUEDART,Mar 2024,EPS in Rs,,126.86
BLUEDART,Mar 2025,EPS in Rs,,106.38
BLUEDART,Mar 2026,EPS in Rs,,104.26
BLUEDART,Mar 2015,Dividend Payout %,,294.0
BLUEDART,Mar 2016,Dividend Payout %,,36.0
BLUEDART,Mar 2017,Dividend Payout %,,25.0
BLUEDART,Mar 2018,Dividend Payout %,,21.0
BLUEDART,Mar 2019,Dividend Payout %,,33.0
BLUEDART,Mar 2020,Dividend Payout %,,0.0
BLUEDART,Mar 2021,Dividend Payout %,,35.0
BLUEDART,Mar 2022,Dividend Payout %,,37.0
BLUEDART,Mar 2023,Dividend Payout %,,19.0
BLUEDART,Mar 2024,Dividend Payout %,,20.0
BLUEDART,Mar 2025,Dividend Payout %,,24.0
BLUEDART,Mar 2026,Dividend Payout %,,24.0
BLUEDART,Mar 2015,Sales Growth %,Sales,17.32
BLUEDART,Mar 2016,Sales Growth %,Sales,12.8
BLUEDART,Mar 2017,Sales Growth %,Sales,4.94
BLUEDART,Mar 2018,Sales Growth %,Sales,4.08
BLUEDART,Mar 2019,Sales Growth %,Sales,13.4
BLUEDART,Mar 2020,Sales Growth %,Sales,0.02
BLUEDART,Mar 2021,Sales Growth %,Sales,3.56
BLUEDART,Mar 2022,Sales Growth %,Sales,34.13
BLUEDART,Mar 2023,Sales Growth %,Sales,17.27
BLUEDART,Mar 2024,Sales Growth %,Sales,1.85
BLUEDART,Mar 2025,Sales Growth %,Sales,8.59
BLUEDART,Mar 2026,Sales Growth %,Sales,7.35
BLUEDART,Mar 2015,Manufacturing Cost %,Expenses,68.0
BLUEDART,Mar 2016,Manufacturing Cost %,Expenses,53.0
BLUEDART,Mar 2017,Manufacturing Cost %,Expenses,54.0
BLUEDART,Mar 2018,Manufacturing Cost %,Expenses,55.0
BLUEDART,Mar 2019,Manufacturing Cost %,Expenses,58.0
BLUEDART,Mar 2020,Manufacturing Cost %,Expenses,54.0
BLUEDART,Mar 2021,Manufacturing Cost %,Expenses,50.0
BLUEDART,Mar 2022,Manufacturing Cost %,Expenses,54.0
BLUEDART,Mar 2023,Manufacturing Cost %,Expenses,60.0
BLUEDART,Mar 2024,Manufacturing Cost %,Expenses,61.0
BLUEDART,Mar 2025,Manufacturing Cost %,Expenses,62.0
BLUEDART,Mar 2026,Manufacturing Cost %,Expenses,0.0
BLUEDART,Mar 2015,Employee Cost %,Expenses,14.0
BLUEDART,Mar 2016,Employee Cost %,Expenses,21.0
BLUEDART,Mar 2017,Employee Cost %,Expenses,21.0
BLUEDART,Mar 2018,Employee Cost %,Expenses,21.0
BLUEDART,Mar 2019,Employee Cost %,Expenses,22.0
BLUEDART,Mar 2020,Employee Cost %,Expenses,23.0
BLUEDART,Mar 2021,Employee Cost %,Expenses,22.0
BLUEDART,Mar 2022,Employee Cost %,Expenses,17.0
BLUEDART,Mar 2023,Employee Cost %,Expenses,16.0
BLUEDART,Mar 2024,Employee Cost %,Expenses,17.0
BLUEDART,Mar 2025,Employee Cost %,Expenses,17.0
BLUEDART,Mar 2026,Employee Cost %,Expenses,17.0
BLUEDART,Mar 2015,Other Cost %,Expenses,8.0
BLUEDART,Mar 2016,Other Cost %,Expenses,11.0
BLUEDART,Mar 2017,Other Cost %,Expenses,13.0
BLUEDART,Mar 2018,Other Cost %,Expenses,12.0
BLUEDART,Mar 2019,Other Cost %,Expenses,11.0
BLUEDART,Mar 2020,Other Cost %,Expenses,8.0
BLUEDART,Mar 2021,Other Cost %,Expenses,7.0
BLUEDART,Mar 2022,Other Cost %,Expenses,6.0
BLUEDART,Mar 2023,Other Cost %,Expenses,5.0
BLUEDART,Mar 2024,Other Cost %,Expenses,6.0
BLUEDART,Mar 2025,Other Cost %,Expenses,6.0
BLUEDART,Mar 2026,Other Cost %,Expenses,68.0
BLUEDART,Mar 2015,Profit from Associates,Net Profit,2.0
BLUEDART,Mar 2016,Profit from Associates,Net Profit,0.0
BLUEDART,Mar 2017,Profit from Associates,Net Profit,0.0
BLUEDART,Mar 2018,Profit from Associates,Net Profit,0.0
BLUEDART,Mar 2019,Profit from Associates,Net Profit,0.0
BLUEDART,Mar 2020,Profit from Associates,Net Profit,0.0
BLUEDART,Mar 2021,Profit from Associates,Net Profit,0.0
BLUEDART,Mar 2022,Profit from Associates,Net Profit,0.0
BLUEDART,Mar 2023,Profit from Associates,Net Profit,0.0
BLUEDART,Mar 2024,Profit from Associates,Net Profit,0.0
BLUEDART,Mar 2025,Profit from Associates,Net Profit,0.0
BLUEDART,Mar 2026,Profit from Associates,Net Profit,0.0
BLUEDART,Mar 2015,Exceptional items AT,Net Profit,-0.0
BLUEDART,Mar 2016,Exceptional items AT,Net Profit,0.0
BLUEDART,Mar 2017,Exceptional items AT,Net Profit,-0.0
BLUEDART,Mar 2018,Exceptional items AT,Net Profit,-0.0
BLUEDART,Mar 2019,Exceptional items AT,Net Profit,-0.0
BLUEDART,Mar 2020,Exceptional items AT,Net Profit,-77.0
BLUEDART,Mar 2021,Exceptional items AT,Net Profit,-14.0
BLUEDART,Mar 2022,Exceptional items AT,Net Profit,-22.0
BLUEDART,Mar 2023,Exceptional items AT,Net Profit,12.0
BLUEDART,Mar 2024,Exceptional items AT,Net Profit,11.0
BLUEDART,Mar 2025,Exceptional items AT,Net Profit,15.0
BLUEDART,Mar 2026,Exceptional items AT,Net Profit,-33.0
BLUEDART,Mar 2015,Profit excl Excep,Net Profit,129.0
BLUEDART,Mar 2016,Profit excl Excep,Net Profit,197.0
BLUEDART,Mar 2017,Profit excl Excep,Net Profit,140.0
BLUEDART,Mar 2018,Profit excl Excep,Net Profit,145.0
BLUEDART,Mar 2019,Profit excl Excep,Net Profit,90.0
BLUEDART,Mar 2020,Profit excl Excep,Net Profit,35.0
BLUEDART,Mar 2021,Profit excl Excep,Net Profit,116.0
BLUEDART,Mar 2022,Profit excl Excep,Net Profit,404.0
BLUEDART,Mar 2023,Profit excl Excep,Net Profit,358.0
BLUEDART,Mar 2024,Profit excl Excep,Net Profit,290.0
BLUEDART,Mar 2025,Profit excl Excep,Net Profit,237.0
BLUEDART,Mar 2026,Profit excl Excep,Net Profit,280.0
BLUEDART,Mar 2015,Profit for PE,Net Profit,129.0
BLUEDART,Mar 2016,Profit for PE,Net Profit,197.0
BLUEDART,Mar 2017,Profit for PE,Net Profit,140.0
BLUEDART,Mar 2018,Profit for PE,Net Profit,145.0
BLUEDART,Mar 2019,Profit for PE,Net Profit,90.0
BLUEDART,Mar 2020,Profit for PE,Net Profit,35.0
BLUEDART,Mar 2021,Profit for PE,Net Profit,116.0
BLUEDART,Mar 2022,Profit for PE,Net Profit,404.0
BLUEDART,Mar 2023,Profit for PE,Net Profit,358.0
BLUEDART,Mar 2024,Profit for PE,Net Profit,290.0
BLUEDART,Mar 2025,Profit for PE,Net Profit,237.0
BLUEDART,Mar 2026,Profit for PE,Net Profit,280.0
BLUEDART,Mar 2015,Profit for EPS,Net Profit,129.0
BLUEDART,Mar 2016,Profit for EPS,Net Profit,197.0
BLUEDART,Mar 2017,Profit for EPS,Net Profit,140.0
BLUEDART,Mar 2018,Profit for EPS,Net Profit,145.0
BLUEDART,Mar 2019,Profit for EPS,Net Profit,90.0
BLUEDART,Mar 2020,Profit for EPS,Net Profit,-42.0
BLUEDART,Mar 2021,Profit for EPS,Net Profit,102.0
BLUEDART,Mar 2022,Profit for EPS,Net Profit,382.0
BLUEDART,Mar 2023,Profit for EPS,Net Profit,371.0
BLUEDART,Mar 2024,Profit for EPS,Net Profit,301.0
BLUEDART,Mar 2025,Profit for EPS,Net Profit,252.0
BLUEDART,Mar 2026,Profit for EPS,Net Profit,247.0
BLUEDART,Mar 2015,Profit Growth %,Net Profit,7.0
BLUEDART,Mar 2016,Profit Growth %,Net Profit,52.0
BLUEDART,Mar 2017,Profit Growth %,Net Profit,-29.0
BLUEDART,Mar 2018,Profit Growth %,Net Profit,4.0
BLUEDART,Mar 2019,Profit Growth %,Net Profit,-38.0
BLUEDART,Mar 2020,Profit Growth %,Net Profit,-61.0
BLUEDART,Mar 2021,Profit Growth %,Net Profit,226.0
BLUEDART,Mar 2022,Profit Growth %,Net Profit,249.0
BLUEDART,Mar 2023,Profit Growth %,Net Profit,-11.0
BLUEDART,Mar 2024,Profit Growth %,Net Profit,-19.0
BLUEDART,Mar 2025,Profit Growth %,Net Profit,-18.0
BLUEDART,Mar 2026,Profit Growth %,Net Profit,18.0
BLUEJET,Mar 2020,Sales,,538.0
BLUEJET,Mar 2021,Sales,,499.0
BLUEJET,Mar 2022,Sales,,683.0
BLUEJET,Mar 2023,Sales,,721.0
BLUEJET,Mar 2024,Sales,,712.0
BLUEJET,Mar 2025,Sales,,1030.0
BLUEJET,Mar 2026,Sales,,947.0
BLUEJET,Mar 2020,Expenses,,325.0
BLUEJET,Mar 2021,Expenses,,292.0
BLUEJET,Mar 2022,Expenses,,434.0
BLUEJET,Mar 2023,Expenses,,502.0
BLUEJET,Mar 2024,Expenses,,481.0
BLUEJET,Mar 2025,Expenses,,652.0
BLUEJET,Mar 2026,Expenses,,653.0
BLUEJET,Mar 2020,Operating Profit,,214.0
BLUEJET,Mar 2021,Operating Profit,,207.0
BLUEJET,Mar 2022,Operating Profit,,249.0
BLUEJET,Mar 2023,Operating Profit,,219.0
BLUEJET,Mar 2024,Operating Profit,,231.0
BLUEJET,Mar 2025,Operating Profit,,378.0
BLUEJET,Mar 2026,Operating Profit,,294.0
BLUEJET,Mar 2020,OPM %,,40.0
BLUEJET,Mar 2021,OPM %,,41.0
BLUEJET,Mar 2022,OPM %,,36.0
BLUEJET,Mar 2023,OPM %,,30.0
BLUEJET,Mar 2024,OPM %,,32.0
BLUEJET,Mar 2025,OPM %,,37.0
BLUEJET,Mar 2026,OPM %,,31.0
BLUEJET,Mar 2020,Other Income,,6.0
BLUEJET,Mar 2021,Other Income,,9.0
BLUEJET,Mar 2022,Other Income,,19.0
BLUEJET,Mar 2023,Other Income,,24.0
BLUEJET,Mar 2024,Other Income,,18.0
BLUEJET,Mar 2025,Other Income,,46.0
BLUEJET,Mar 2026,Other Income,,69.0
BLUEJET,Mar 2020,Interest,,7.0
BLUEJET,Mar 2021,Interest,,5.0
BLUEJET,Mar 2022,Interest,,3.0
BLUEJET,Mar 2023,Interest,,1.0
BLUEJET,Mar 2024,Interest,,0.0
BLUEJET,Mar 2025,Interest,,0.0
BLUEJET,Mar 2026,Interest,,6.0
BLUEJET,Mar 2020,Depreciation,,18.0
BLUEJET,Mar 2021,Depreciation,,20.0
BLUEJET,Mar 2022,Depreciation,,22.0
BLUEJET,Mar 2023,Depreciation,,25.0
BLUEJET,Mar 2024,Depreciation,,28.0
BLUEJET,Mar 2025,Depreciation,,18.0
BLUEJET,Mar 2026,Depreciation,,24.0
BLUEJET,Mar 2020,Profit before tax,,194.0
BLUEJET,Mar 2021,Profit before tax,,190.0
BLUEJET,Mar 2022,Profit before tax,,243.0
BLUEJET,Mar 2023,Profit before tax,,217.0
BLUEJET,Mar 2024,Profit before tax,,220.0
BLUEJET,Mar 2025,Profit before tax,,406.0
BLUEJET,Mar 2026,Profit before tax,,333.0
BLUEJET,Mar 2020,Tax %,,25.0
BLUEJET,Mar 2021,Tax %,,26.0
BLUEJET,Mar 2022,Tax %,,25.0
BLUEJET,Mar 2023,Tax %,,26.0
BLUEJET,Mar 2024,Tax %,,26.0
BLUEJET,Mar 2025,Tax %,,25.0
BLUEJET,Mar 2026,Tax %,,25.0
BLUEJET,Mar 2020,Net Profit,,145.0
BLUEJET,Mar 2021,Net Profit,,142.0
BLUEJET,Mar 2022,Net Profit,,182.0
BLUEJET,Mar 2023,Net Profit,,160.0
BLUEJET,Mar 2024,Net Profit,,164.0
BLUEJET,Mar 2025,Net Profit,,305.0
BLUEJET,Mar 2026,Net Profit,,248.0
BLUEJET,Mar 2020,EPS in Rs,,24118.33
BLUEJET,Mar 2021,EPS in Rs,,1428.77
BLUEJET,Mar 2022,EPS in Rs,,10.47
BLUEJET,Mar 2023,EPS in Rs,,9.23
BLUEJET,Mar 2024,EPS in Rs,,9.44
BLUEJET,Mar 2025,EPS in Rs,,17.59
BLUEJET,Mar 2026,EPS in Rs,,14.29
BLUEJET,Mar 2020,Dividend Payout %,,0.0
BLUEJET,Mar 2021,Dividend Payout %,,0.0
BLUEJET,Mar 2022,Dividend Payout %,,0.0
BLUEJET,Mar 2023,Dividend Payout %,,0.0
BLUEJET,Mar 2024,Dividend Payout %,,11.0
BLUEJET,Mar 2025,Dividend Payout %,,7.0
BLUEJET,Mar 2026,Dividend Payout %,,8.0
BLUEJET,Mar 2020,Sales Growth %,Sales,
BLUEJET,Mar 2021,Sales Growth %,Sales,-7.3
BLUEJET,Mar 2022,Sales Growth %,Sales,36.99
BLUEJET,Mar 2023,Sales Growth %,Sales,5.49
BLUEJET,Mar 2024,Sales Growth %,Sales,-1.3
BLUEJET,Mar 2025,Sales Growth %,Sales,44.74
BLUEJET,Mar 2026,Sales Growth %,Sales,-8.03
BLUEJET,Mar 2020,Exceptional items,Other Income,0.0
BLUEJET,Mar 2021,Exceptional items,Other Income,2.0
BLUEJET,Mar 2022,Exceptional items,Other Income,0.0
BLUEJET,Mar 2023,Exceptional items,Other Income,1.0
BLUEJET,Mar 2024,Exceptional items,Other Income,-10.0
BLUEJET,Mar 2025,Exceptional items,Other Income,8.0
BLUEJET,Mar 2026,Exceptional items,Other Income,0.0
BLUEJET,Mar 2020,Other income normal,Other Income,5.0
BLUEJET,Mar 2021,Other income normal,Other Income,7.0
BLUEJET,Mar 2022,Other income normal,Other Income,19.0
BLUEJET,Mar 2023,Other income normal,Other Income,23.0
BLUEJET,Mar 2024,Other income normal,Other Income,28.0
BLUEJET,Mar 2025,Other income normal,Other Income,38.0
BLUEJET,Mar 2026,Other income normal,Other Income,69.0
BLUEJET,Mar 2020,Exceptional items AT,Net Profit,0.0
BLUEJET,Mar 2021,Exceptional items AT,Net Profit,1.0
BLUEJET,Mar 2022,Exceptional items AT,Net Profit,0.0
BLUEJET,Mar 2023,Exceptional items AT,Net Profit,1.0
BLUEJET,Mar 2024,Exceptional items AT,Net Profit,-7.0
BLUEJET,Mar 2025,Exceptional items AT,Net Profit,6.0
BLUEJET,Mar 2026,Exceptional items AT,Net Profit,0.0
BLUEJET,Mar 2020,Profit excl Excep,Net Profit,144.0
BLUEJET,Mar 2021,Profit excl Excep,Net Profit,140.0
BLUEJET,Mar 2022,Profit excl Excep,Net Profit,182.0
BLUEJET,Mar 2023,Profit excl Excep,Net Profit,159.0
BLUEJET,Mar 2024,Profit excl Excep,Net Profit,171.0
BLUEJET,Mar 2025,Profit excl Excep,Net Profit,299.0
BLUEJET,Mar 2026,Profit excl Excep,Net Profit,248.0
BLUEJET,Mar 2020,Profit for PE,Net Profit,144.0
BLUEJET,Mar 2021,Profit for PE,Net Profit,140.0
BLUEJET,Mar 2022,Profit for PE,Net Profit,182.0
BLUEJET,Mar 2023,Profit for PE,Net Profit,159.0
BLUEJET,Mar 2024,Profit for PE,Net Profit,171.0
BLUEJET,Mar 2025,Profit for PE,Net Profit,299.0
BLUEJET,Mar 2026,Profit for PE,Net Profit,248.0
BLUEJET,Mar 2020,Profit for EPS,Net Profit,145.0
BLUEJET,Mar 2021,Profit for EPS,Net Profit,142.0
BLUEJET,Mar 2022,Profit for EPS,Net Profit,182.0
BLUEJET,Mar 2023,Profit for EPS,Net Profit,160.0
BLUEJET,Mar 2024,Profit for EPS,Net Profit,164.0
