nse_symbol,year,line_item,parent_line_item,value
360ONE,Mar 2022,Manufacturing Cost %,Expenses,10.76
360ONE,Mar 2023,Manufacturing Cost %,Expenses,5.97
360ONE,Mar 2024,Manufacturing Cost %,Expenses,6.2
360ONE,Mar 2025,Manufacturing Cost %,Expenses,4.42
360ONE,Mar 2026,Manufacturing Cost %,Expenses,0.0
360ONE,Mar 2018,Employee Cost %,Expenses,22.92
360ONE,Mar 2019,Employee Cost %,Expenses,21.08
360ONE,Mar 2020,Employee Cost %,Expenses,24.62
360ONE,Mar 2021,Employee Cost %,Expenses,24.83
360ONE,Mar 2022,Employee Cost %,Expenses,28.62
360ONE,Mar 2023,Employee Cost %,Expenses,24.75
360ONE,Mar 2024,Employee Cost %,Expenses,23.62
360ONE,Mar 2025,Employee Cost %,Expenses,24.12
360ONE,Mar 2026,Employee Cost %,Expenses,25.97
360ONE,Mar 2018,Other Cost %,Expenses,10.76
360ONE,Mar 2019,Other Cost %,Expenses,9.98
360ONE,Mar 2020,Other Cost %,Expenses,7.49
360ONE,Mar 2021,Other Cost %,Expenses,6.37
360ONE,Mar 2022,Other Cost %,Expenses,4.78
360ONE,Mar 2023,Other Cost %,Expenses,6.52
360ONE,Mar 2024,Other Cost %,Expenses,6.68
360ONE,Mar 2025,Other Cost %,Expenses,6.54
360ONE,Mar 2026,Other Cost %,Expenses,11.98
360ONE,Mar 2018,Exceptional items,Other Income,0.0
360ONE,Mar 2019,Exceptional items,Other Income,-0.0
360ONE,Mar 2020,Exceptional items,Other Income,-1.0
360ONE,Mar 2021,Exceptional items,Other Income,-2.0
360ONE,Mar 2022,Exceptional items,Other Income,-0.0
360ONE,Mar 2023,Exceptional items,Other Income,0.0
360ONE,Mar 2024,Exceptional items,Other Income,0.0
360ONE,Mar 2025,Exceptional items,Other Income,-88.0
360ONE,Mar 2026,Exceptional items,Other Income,0.0
360ONE,Mar 2018,Other income normal,Other Income,10.0
360ONE,Mar 2019,Other income normal,Other Income,1.0
360ONE,Mar 2020,Other income normal,Other Income,7.0
360ONE,Mar 2021,Other income normal,Other Income,5.0
360ONE,Mar 2022,Other income normal,Other Income,6.0
360ONE,Mar 2023,Other income normal,Other Income,5.0
360ONE,Mar 2024,Other income normal,Other Income,4.0
360ONE,Mar 2025,Other income normal,Other Income,0.0
360ONE,Mar 2026,Other income normal,Other Income,116.0
360ONE,Mar 2018,Minority share,Net Profit,0.0
360ONE,Mar 2019,Minority share,Net Profit,0.0
360ONE,Mar 2020,Minority share,Net Profit,0.0
360ONE,Mar 2021,Minority share,Net Profit,0.0
360ONE,Mar 2022,Minority share,Net Profit,0.0
360ONE,Mar 2023,Minority share,Net Profit,0.0
360ONE,Mar 2024,Minority share,Net Profit,0.0
360ONE,Mar 2025,Minority share,Net Profit,0.0
360ONE,Mar 2026,Minority share,Net Profit,0.0
360ONE,Mar 2018,Exceptional items AT,Net Profit,0.0
360ONE,Mar 2019,Exceptional items AT,Net Profit,-0.0
360ONE,Mar 2020,Exceptional items AT,Net Profit,-1.0
360ONE,Mar 2021,Exceptional items AT,Net Profit,-2.0
360ONE,Mar 2022,Exceptional items AT,Net Profit,-0.0
360ONE,Mar 2023,Exceptional items AT,Net Profit,0.0
360ONE,Mar 2024,Exceptional items AT,Net Profit,0.0
360ONE,Mar 2025,Exceptional items AT,Net Profit,-66.0
360ONE,Mar 2026,Exceptional items AT,Net Profit,0.0
360ONE,Mar 2018,Profit excl Excep,Net Profit,380.0
360ONE,Mar 2019,Profit excl Excep,Net Profit,375.0
360ONE,Mar 2020,Profit excl Excep,Net Profit,202.0
360ONE,Mar 2021,Profit excl Excep,Net Profit,371.0
360ONE,Mar 2022,Profit excl Excep,Net Profit,578.0
360ONE,Mar 2023,Profit excl Excep,Net Profit,658.0
360ONE,Mar 2024,Profit excl Excep,Net Profit,804.0
360ONE,Mar 2025,Profit excl Excep,Net Profit,1081.0
360ONE,Mar 2026,Profit excl Excep,Net Profit,1216.0
360ONE,Mar 2018,Profit for PE,Net Profit,380.0
360ONE,Mar 2019,Profit for PE,Net Profit,375.0
360ONE,Mar 2020,Profit for PE,Net Profit,202.0
360ONE,Mar 2021,Profit for PE,Net Profit,371.0
360ONE,Mar 2022,Profit for PE,Net Profit,578.0
360ONE,Mar 2023,Profit for PE,Net Profit,658.0
360ONE,Mar 2024,Profit for PE,Net Profit,804.0
360ONE,Mar 2025,Profit for PE,Net Profit,1081.0
360ONE,Mar 2026,Profit for PE,Net Profit,1216.0
360ONE,Mar 2018,Profit for EPS,Net Profit,380.0
360ONE,Mar 2019,Profit for EPS,Net Profit,375.0
