,parent_line_item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,862.0,886.0,1267.0,2048.0,3154.0,3787.0,4819.0
Expenses,,727.0,784.0,1138.0,1856.0,2951.0,3463.0,4275.0
Operating Profit,,135.0,102.0,129.0,192.0,203.0,323.0,545.0
OPM %,,16.0,11.0,10.0,9.0,6.0,9.0,11.0
Other Income,,13.0,18.0,18.0,44.0,56.0,47.0,33.0
Interest,,15.0,10.0,11.0,26.0,41.0,58.0,48.0
Depreciation,,19.0,23.0,25.0,31.0,51.0,75.0,84.0
Profit before tax,,113.0,87.0,111.0,179.0,166.0,237.0,445.0
Tax %,,19.0,24.0,31.0,31.0,25.0,22.0,22.0
Net Profit,,92.0,69.0,79.0,123.0,124.0,184.0,346.0
EPS in Rs,,1281.97,916.98,5.59,6.75,6.04,9.53,16.48
Dividend Payout %,,0.0,0.0,0.0,22.0,25.0,16.0,9.0
Sales Growth %,Sales,,2.75,43.0,61.72,53.97,20.07,27.26
Material Cost %,Expenses,64.0,68.0,70.0,75.0,79.0,77.0,74.0
Manufacturing Cost %,Expenses,7.0,7.0,7.0,8.0,7.0,6.0,0.0
Employee Cost %,Expenses,9.0,9.0,7.0,5.0,5.0,5.0,5.0
Other Cost %,Expenses,4.0,5.0,5.0,3.0,3.0,3.0,10.0
Profit from Associates,Net Profit,0.0,3.0,3.0,-0.0,0.0,0.0,0.0
Minority share,Net Profit,-0.0,-0.0,-2.0,-4.0,-17.0,-15.0,-28.0
Exceptional items AT,Net Profit,2.0,0.0,1.0,1.0,-0.0,12.0,-4.0
Profit excl Excep,Net Profit,89.0,69.0,78.0,122.0,124.0,173.0,349.0
Profit for PE,Net Profit,89.0,69.0,76.0,119.0,107.0,159.0,321.0
Profit for EPS,Net Profit,91.0,69.0,77.0,119.0,107.0,170.0,318.0
Profit Growth %,Net Profit,,-23.0,11.0,56.0,-10.0,48.0,102.0
