,parent_line_item,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,Dec 2023,Dec 2024,Dec 2025
Sales,,1253.0,1380.0,1548.0,1658.0,1748.0,1732.0,1982.0,2301.0,2769.0,3140.0,3260.0,3649.0
Expenses,,865.0,980.0,1104.0,1203.0,1277.0,1276.0,1471.0,1690.0,2039.0,2258.0,2349.0,2564.0
Operating Profit,,389.0,400.0,443.0,455.0,471.0,456.0,511.0,611.0,730.0,882.0,911.0,1085.0
OPM %,,31.0,29.0,29.0,27.0,27.0,26.0,26.0,27.0,26.0,28.0,28.0,30.0
Other Income,,24.0,43.0,50.0,25.0,73.0,73.0,83.0,123.0,122.0,94.0,90.0,107.0
Interest,,0.0,0.0,0.0,0.0,2.0,0.0,14.0,9.0,6.0,4.0,4.0,22.0
Depreciation,,36.0,37.0,55.0,47.0,43.0,37.0,121.0,106.0,103.0,104.0,70.0,129.0
Profit before tax,,376.0,406.0,438.0,434.0,500.0,492.0,458.0,618.0,742.0,868.0,926.0,1041.0
Tax %,,29.0,30.0,33.0,30.0,27.0,30.0,23.0,25.0,24.0,24.0,26.0,26.0
Net Profit,,268.0,285.0,294.0,304.0,363.0,344.0,355.0,466.0,564.0,658.0,684.0,766.0
EPS in Rs,,37.62,40.04,41.26,42.46,50.35,47.57,48.87,63.92,77.25,90.06,93.54,104.75
Dividend Payout %,,53.0,57.0,65.0,66.0,60.0,67.0,68.0,72.0,62.0,60.0,60.0,57.0
Sales Growth %,Sales,12.85,10.1,12.14,7.17,5.43,-0.96,14.44,16.09,20.34,13.39,3.83,11.94
Exceptional items,Other Income,11.0,20.0,27.0,15.0,4.0,10.0,7.0,57.0,13.0,21.0,62.0,63.0
Other income normal,Other Income,13.0,23.0,23.0,10.0,69.0,63.0,76.0,66.0,110.0,73.0,28.0,44.0
Exceptional items AT,Net Profit,8.0,14.0,18.0,10.0,3.0,7.0,5.0,43.0,9.0,16.0,78.0,81.0
Profit excl Excep,Net Profit,261.0,272.0,277.0,294.0,360.0,337.0,349.0,423.0,555.0,643.0,606.0,685.0
Profit for PE,Net Profit,261.0,272.0,277.0,294.0,360.0,337.0,349.0,423.0,555.0,643.0,606.0,685.0
Profit for EPS,Net Profit,268.0,285.0,294.0,304.0,363.0,344.0,355.0,466.0,564.0,658.0,684.0,766.0
Profit Growth %,Net Profit,4.0,4.0,2.0,6.0,22.0,-6.0,4.0,21.0,31.0,16.0,-6.0,13.0
