,parent_line_item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,3747.0,4606.0,4376.0,6297.0,10394.0,12658.0,13195.0,15138.0,18552.0
Expenses,,3034.0,3656.0,3710.0,4903.0,7793.0,11159.0,11625.0,13272.0,16219.0
Operating Profit,,714.0,950.0,666.0,1394.0,2601.0,1499.0,1570.0,1866.0,2333.0
OPM %,,19.0,21.0,15.0,22.0,25.0,12.0,12.0,12.0,13.0
Other Income,,68.0,73.0,12.0,24.0,59.0,105.0,159.0,231.0,204.0
Interest,,49.0,64.0,86.0,62.0,23.0,93.0,133.0,144.0,192.0
Depreciation,,215.0,195.0,297.0,300.0,272.0,474.0,656.0,711.0,882.0
Profit before tax,,517.0,764.0,295.0,1055.0,2364.0,1037.0,940.0,1241.0,1462.0
Tax %,,-2.0,17.0,-15.0,20.0,27.0,19.0,-9.0,27.0,28.0
Net Profit,,528.0,637.0,340.0,844.0,1724.0,843.0,1029.0,909.0,1060.0
EPS in Rs,,90.83,25.86,14.56,36.1,67.61,33.43,37.07,32.53,38.34
Dividend Payout %,,0.0,0.0,0.0,14.0,7.0,5.0,12.0,14.0,7.0
Sales Growth %,Sales,,22.93,-4.99,43.89,65.06,21.78,4.24,14.72,22.56
Material Cost %,Expenses,63.0,60.0,61.0,61.0,61.0,71.0,72.0,72.0,72.0
Manufacturing Cost %,Expenses,10.0,11.0,15.0,10.0,8.0,11.0,10.0,10.0,0.0
Employee Cost %,Expenses,3.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0
Other Cost %,Expenses,5.0,5.0,5.0,4.0,3.0,4.0,3.0,3.0,13.0
Minority share,Net Profit,-104.0,-33.0,0.0,-0.0,0.0,9.0,6.0,-1.0,10.0
Exceptional items AT,Net Profit,-5.0,2.0,1.0,1.0,-1.0,17.0,0.0,0.0,0.0
Profit excl Excep,Net Profit,533.0,635.0,339.0,843.0,1725.0,826.0,1029.0,909.0,1060.0
Profit for PE,Net Profit,428.0,603.0,339.0,843.0,1725.0,836.0,1035.0,908.0,1070.0
Profit for EPS,Net Profit,424.0,604.0,340.0,843.0,1725.0,853.0,1035.0,908.0,1070.0
Profit Growth %,Net Profit,,41.0,-44.0,148.0,105.0,-52.0,24.0,-12.0,18.0
