,parent_line_item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,160.0,188.0,239.0,240.0,341.0,520.0,617.0,717.0,1007.0,1339.0
Expenses,,137.0,157.0,196.0,198.0,260.0,415.0,493.0,589.0,775.0,859.0
Operating Profit,,23.0,31.0,42.0,42.0,80.0,105.0,123.0,128.0,232.0,480.0
OPM %,,14.0,16.0,18.0,17.0,24.0,20.0,20.0,18.0,23.0,36.0
Other Income,,0.0,3.0,0.0,2.0,1.0,3.0,4.0,-25.0,17.0,42.0
Interest,,3.0,3.0,5.0,6.0,6.0,6.0,2.0,6.0,6.0,3.0
Depreciation,,1.0,2.0,3.0,4.0,4.0,10.0,12.0,16.0,27.0,36.0
Profit before tax,,19.0,28.0,35.0,35.0,72.0,91.0,112.0,82.0,216.0,483.0
Tax %,,35.0,35.0,34.0,21.0,25.0,21.0,26.0,41.0,26.0,26.0
Net Profit,,12.0,18.0,23.0,27.0,54.0,72.0,83.0,49.0,160.0,356.0
EPS in Rs,,40.17,61.67,11.1,13.08,8.57,9.87,11.43,5.8,19.38,43.51
Dividend Payout %,,0.0,0.0,0.0,0.0,0.0,15.0,13.0,26.0,8.0,6.0
Sales Growth %,Sales,,17.23,26.95,0.46,42.15,52.71,18.57,16.33,40.34,33.02
Material Cost %,Expenses,59.27,60.12,62.19,53.82,52.75,52.45,53.65,57.38,54.84,42.26
Manufacturing Cost %,Expenses,10.25,11.25,8.88,16.31,13.48,13.64,11.19,10.16,8.13,0.0
Employee Cost %,Expenses,4.61,5.26,4.95,7.46,6.2,8.01,8.02,8.88,8.37,8.78
Other Cost %,Expenses,11.44,7.12,6.34,4.97,3.94,5.68,7.14,5.67,5.62,13.1
Exceptional items,Other Income,0.0,0.0,0.0,-0.77,-0.18,0.0,-0.75,-31.88,0.01,0.0
Other income normal,Other Income,0.21,2.96,0.38,2.84,1.22,2.76,4.32,7.28,16.92,41.59
Minority share,Net Profit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,-2.0,-0.0
Exceptional items AT,Net Profit,0.0,0.0,0.0,-1.0,-0.0,0.0,-1.0,-19.0,0.0,0.0
Profit excl Excep,Net Profit,12.0,18.0,23.0,28.0,54.0,72.0,84.0,68.0,160.0,356.0
Profit for PE,Net Profit,12.0,18.0,23.0,28.0,54.0,72.0,84.0,59.0,159.0,356.0
Profit for EPS,Net Profit,12.0,18.0,23.0,27.0,54.0,72.0,83.0,43.0,159.0,356.0
Profit Growth %,Net Profit,,54.0,26.0,21.0,93.0,33.0,17.0,-29.0,167.0,124.0
