nse_symbol,isin_source,name_source
BLUEDART,groww_master,nifty500_master
BLUEJET,groww_master,nifty500_master
BLUESTARCO,groww_master,nifty500_master
BLUESTONE,groww_master,groww_master
BORORENEW,groww_master,groww_master
BOSCHLTD,groww_master,nifty500_master
BPCL,groww_master,nifty500_master
BRIGADE,groww_master,nifty500_master
BRITANNIA,groww_master,nifty500_master
BSE,groww_master,nifty500_master
BSOFT,groww_master,nifty500_master
CAMPUS,groww_master,groww_master
CAMS,groww_master,nifty500_master
CANBK,groww_master,nifty500_master
CANFINHOME,groww_master,nifty500_master
CANHLIFE,groww_master,nifty500_master
CAPILLARY,groww_master,groww_master
CAPLIPOINT,groww_master,nifty500_master
CARBORUNIV,groww_master,nifty500_master
CARTRADE,groww_master,nifty500_master
CASTROLIND,groww_master,nifty500_master
CCAVENUE,groww_master,groww_master
CCL,groww_master,nifty500_master
CDSL,groww_master,nifty500_master
CEATLTD,groww_master,nifty500_master
CELLO,groww_master,groww_master
CEMPRO,groww_master,nifty500_master
CENTRALBK,groww_master,nifty500_master
CENTURYPLY,groww_master,groww_master
CERA,groww_master,groww_master
CESC,groww_master,nifty500_master
CGCL,groww_master,nifty500_master
CGPOWER,groww_master,nifty500_master
CHALET,groww_master,nifty500_master
CHAMBLFERT,groww_master,nifty500_master
CHENNPETRO,groww_master,nifty500_master
CHOICEIN,groww_master,nifty500_master
CHOLAFIN,groww_master,nifty500_master
CHOLAHLDNG,groww_master,nifty500_master
CIEINDIA,groww_master,nifty500_master
CIPLA,groww_master,nifty500_master
CLEAN,groww_master,nifty500_master
CMSINFO,groww_master,groww_master
COALINDIA,groww_master,nifty500_master
COCHINSHIP,groww_master,nifty500_master
COFORGE,groww_master,nifty500_master
COHANCE,groww_master,nifty500_master
COLPAL,groww_master,nifty500_master
CONCOR,groww_master,nifty500_master
CONCORDBIO,groww_master,nifty500_master
COROMANDEL,groww_master,nifty500_master
CORONA,groww_master,groww_master
CPPLUS,groww_master,nifty500_master
CRAFTSMAN,groww_master,nifty500_master
CRAMC,groww_master,groww_master
CREDITACC,groww_master,nifty500_master
CRISIL,groww_master,nifty500_master
CRIZAC,groww_master,groww_master
CROMPTON,groww_master,nifty500_master
CSBBANK,groww_master,groww_master
CUB,groww_master,nifty500_master
CUMMINSIND,groww_master,nifty500_master
CUPID,groww_master,groww_master
CYIENT,groww_master,nifty500_master
DABUR,groww_master,nifty500_master
DALBHARAT,groww_master,nifty500_master
DATAMATICS,groww_master,groww_master
DATAPATTNS,groww_master,nifty500_master
DBL,groww_master,groww_master
DBREALTY,groww_master,groww_master
DCBBANK,groww_master,groww_master
DCMSHRIRAM,groww_master,nifty500_master
DEEPAKFERT,groww_master,nifty500_master
DEEPAKNTR,groww_master,nifty500_master
DELHIVERY,groww_master,nifty500_master
DEVYANI,groww_master,nifty500_master
DIACABS,groww_master,groww_master
DIVISLAB,groww_master,nifty500_master
DIXON,groww_master,nifty500_master
DLF,groww_master,nifty500_master
DMART,groww_master,nifty500_master
DOMS,groww_master,nifty500_master
DRREDDY,groww_master,nifty500_master
DYNAMATECH,groww_master,groww_master
ECLERX,groww_master,nifty500_master
EDELWEISS,groww_master,groww_master
EICHERMOT,groww_master,nifty500_master
