nse_symbol,industry,Stock Price (Rs),Market Cap (Rs Cr),P/E ratio,FA T,FA T-1,FA T-2,FA T-3,FA YoY (T),FA YoY (T-1),FA YoY (T-2),Sales T,Sales T-3,Sales 3y CAGR,NP T,NP T-3,NP 3y CAGR,Op Profit T,Capital Base T,ROCE T,OPM % T,PRIMARY_match,SECONDARY_match
BLS,,235.65,9661.65,14.13,1721.0,1363.0,296.0,234.0,0.2626559060895084,3.60472972972973,0.2649572649572649,2998.0,1516.0,0.2551938684258068,724.0,204.0,0.5253498590435024,819.0,2894.0,0.28299930891499653,27.0,True,True
DIXON,CONSUMER GOODS,9673.0,58038.0,40.88,4172.0,2774.0,1996.0,1244.0,0.5039653929343908,0.3897795591182365,0.6045016077170418,48873.0,12192.0,0.588539487225511,1644.0,255.0,0.8611750026962952,1867.0,5671.0,0.32921883265737967,4.0,True,False
WAAREEENER,,3109.8,89562.24,24.1,7329.0,4051.0,1450.0,1105.0,0.8091829177980745,1.7937931034482757,0.31221719457013575,20991.0,6533.0,0.47561645713989353,3762.0,460.0,1.014746081792142,4781.0,17651.0,0.2708628406322588,23.0,True,False
ACUTAAS,,2558.6,20980.52,58.8,745.0,570.0,427.0,259.0,0.3070175438596492,0.3348946135831381,0.6486486486486487,1339.0,617.0,0.29468804459618414,356.0,83.0,0.6247652996270656,480.0,1690.0,0.28402366863905326,36.0,True,False
DATAPATTNS,,3035.3,,,321.0,247.0,150.0,112.0,0.2995951417004048,0.6466666666666667,0.3392857142857142,925.0,453.0,0.2686675849329423,271.0,124.0,0.2977245938072115,374.0,1741.0,0.2148190695002872,40.0,True,False
BAJAJHLDNG,FINANCIAL SERVICES,8746.0,97080.6,10.1,181.0,203.0,244.0,278.0,-0.10837438423645318,-0.16803278688524592,-0.12230215827338131,1070.0,522.0,0.2702945209671854,9789.0,4946.0,0.25553282687174095,907.0,73160.0,0.012397484964461454,85.0,False,True
NMDC,METALS,76.27,67041.33,9.0,5856.0,5038.0,3377.0,3199.0,0.16236601826121477,0.49185667752442996,0.05564238824632706,31554.0,17667.0,0.2132879119432769,7421.0,5529.0,0.10307560618858713,9275.0,40469.0,0.22918777335738466,29.0,False,True
WELCORP,METALS,812.7,21455.28,13.29,6545.0,4707.0,4800.0,4910.0,0.39048226046313994,-0.01937500000000003,-0.022403258655804503,16770.0,9758.0,0.1978177642630552,1620.0,199.0,1.0116572157835018,2236.0,11511.0,0.19424897923725132,13.0,False,True
PARADEEP,,107.24,11131.51,11.17,6026.0,3349.0,3431.0,2872.0,0.7993430874888026,-0.02389973768580589,0.1946378830083566,21826.0,13341.0,0.17831639980458358,996.0,304.0,0.4852352621439371,2152.0,13689.0,0.15720651618087517,10.0,False,True
SIGNATURE,,714.2,9998.8,9.17,116.0,146.0,104.0,136.0,-0.20547945205479456,0.40384615384615374,-0.23529411764705888,1381.0,862.0,0.17011569388321623,16.0,-113.0,,-48.0,4829.0,-0.009939946158624974,-3.0,False,True
EMMVEE,,217.37,14998.53,13.92,2634.0,2046.0,291.0,323.0,0.28739002932551316,6.030927835051546,-0.09907120743034059,1075.0,705.0,0.15099414853431625,156.0,23.0,0.8929199748886492,130.0,4054.0,0.03206709422792304,12.0,False,True
JIOFIN,,224.1,142370.73,,418.0,180.0,172.0,158.0,1.3222222222222224,0.04651162790697683,0.08860759493670889,3513.0,45.0,3.2738756167342977,1561.0,31.0,2.692725876838077,2305.0,155621.0,0.014811625680338772,66.0,False,False
