metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Stock Price (Rs),,,,,,,,,,,42.91,39.95
EPS in Rs,,,,,,,,,-0.02,0.75,0.53,1.15
Equity Capital (Rs Cr),,,,,,,,1919.0,1919.0,4285.0,4679.0,4679.0
Face Value (Rs),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Shares Outstanding,,,,,,,,1919000000.0,1919000000.0,4285000000.0,4679000000.0,4679000000.0
Market Cap (Rs Cr),,,,,,,,,,,20077.59,18692.6
P/E ratio,,,,,,,,,,,80.96,34.74
