metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Stock Price (Rs),284.75,281.2,516.55,674.85,482.85,203.75,380.95,377.65,812.6,1001.0,913.35,776.5
EPS in Rs,,21.49,26.17,21.58,26.64,25.57,30.17,39.18,32.97,42.61,45.82,46.67
Equity Capital (Rs Cr),,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0
Face Value (Rs),2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Shares Outstanding,,155000000.0,155000000.0,155000000.0,155000000.0,155000000.0,155000000.0,155000000.0,155000000.0,155000000.0,155000000.0,155000000.0
Market Cap (Rs Cr),,4358.6,8006.52,10460.17,7484.18,3158.12,5904.73,5853.57,12595.3,15515.5,14156.92,12035.75
P/E ratio,,13.09,19.74,31.27,18.12,7.97,12.63,9.64,24.65,23.49,19.93,16.64
