metric,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Stock Price (Rs),,,,,,,,578.62,941.92,732.45,985.35,958.55,629.1,2692.9,8840.15,5959.1,7785.15,5214.6,3976.6
EPS in Rs,8.48,9.34,7.84,5.22,5.55,3.42,11.6,16.38,,,,,,,,,,,
Equity Capital (Rs Cr),31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,,,,,,,,,,,
Face Value (Rs),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Shares Outstanding,31000000.0,31000000.0,31000000.0,31000000.0,31000000.0,31000000.0,31000000.0,31000000.0,,,,,,,,,,,
Market Cap (Rs Cr),,,,,,,,1793.72,,,,,,,,,,,
P/E ratio,,,,,,,,35.32,,,,,,,,,,,
