metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Stock Price (Rs),500.6,466.15,532.17,534.42,397.75,169.95,486.0,447.15,358.55,429.35,579.9,393.4
EPS in Rs,10.7,8.0,7.5,6.77,6.68,6.67,10.23,19.02,14.5,16.58,18.48,17.76
Equity Capital (Rs Cr),23.0,23.0,23.0,23.0,45.0,45.0,44.0,44.0,44.0,44.0,44.0,44.0
Face Value (Rs),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Shares Outstanding,230000000.0,230000000.0,230000000.0,230000000.0,450000000.0,450000000.0,440000000.0,440000000.0,440000000.0,440000000.0,440000000.0,440000000.0
Market Cap (Rs Cr),11513.8,10721.45,12239.91,12291.66,17898.75,7647.75,21384.0,19674.6,15776.2,18891.4,25515.6,17309.6
P/E ratio,46.79,58.27,70.96,78.94,59.54,25.48,47.51,23.51,24.73,25.9,31.38,22.15
